keyword,bucket,volume,cpc_usd,competition,intent,kd,sources
50 free spins no deposit,casino (exclude),5400,10.36,MEDIUM,transactional,0,ideas
live lotto,casino (exclude),5400,8.93,LOW,informational,27,ideas
sky vegas free spins,competitor/brand,5400,5.06,LOW,commercial,5,ideas
uk bingo,casino (exclude),5400,21.99,LOW,informational,41,ideas
free spins on sign up,casino (exclude),5400,32.74,MEDIUM,commercial,15,ideas
free poker,casino (exclude),5400,4.15,LOW,informational,27,ideas
free spins no deposit no wager,casino (exclude),5400,12.79,MEDIUM,transactional,8,ideas
free bingo,casino (exclude),5400,8.92,MEDIUM,informational,38,ideas
best online slots uk,casino (exclude),5400,86.94,MEDIUM,commercial,45,ideas
sports betting sites www ukbettingbonus org,C offers/free bets,5400,,LOW,commercial,56,comp:betgoodwin.co.uk|sugg
new betting sites www ukbettingbonus org,C offers/free bets,5400,,LOW,commercial,48,sugg
football accumulator tips,informational (exclude),5400,13.47,LOW,informational,22,sugg
accumulator football tips,informational (exclude),5400,13.47,LOW,informational,22,sugg
football accumulator advice,D acca/bet builder,5400,13.47,LOW,informational,22,sugg
accumulator tips football,informational (exclude),5400,13.47,LOW,informational,22,sugg
football accumulator tipster,informational (exclude),5400,13.47,LOW,transactional,22,sugg
accumulator soccer tips,informational (exclude),5400,13.47,LOW,informational,19,sugg
football accumulator tip,D acca/bet builder,5400,13.47,LOW,informational,22,sugg
tips football accumulator,informational (exclude),5400,13.47,LOW,transactional,22,sugg
footy accumulator tips,informational (exclude),5400,13.47,LOW,informational,49,sugg
sporting life accumulator,D acca/bet builder,5400,3.51,LOW,transactional,25,sugg
2 numbers on lottery,casino (exclude),5400,2.0299999713897705,LOW,informational,18,comp:bet442.co.uk
lottery scratchcards,casino (exclude),5400,2.200000047683716,LOW,transactional,0,comp:bet442.co.uk
millionaire maker code,G other,5400,1.5399999618530273,LOW,informational,14,comp:bet442.co.uk
quarter final,G other,5400,1.559999942779541,LOW,informational,3,comp:bet442.co.uk
quarter-final,G other,5400,1.559999942779541,LOW,informational,3,comp:bet442.co.uk
sportsbook definition,E sport-specific,5400,3.3600001335144043,LOW,informational,9,comp:bet442.co.uk
two numbers on lotto,casino (exclude),5400,2.0299999713897705,LOW,informational,15,comp:bet442.co.uk
best slots online uk,casino (exclude),5400,86.94000244140625,MEDIUM,commercial,44,comp:betgoodwin.co.uk
new casino online,casino (exclude),5400,40.06999969482422,MEDIUM,commercial,57,comp:betgoodwin.co.uk
new online casino,casino (exclude),5400,45.279998779296875,MEDIUM,commercial,55,comp:betgoodwin.co.uk
online casino new,casino (exclude),5400,40.06999969482422,MEDIUM,commercial,57,comp:betgoodwin.co.uk
coin master free spins today,casino (exclude),4400,2.55,LOW,informational,28,ideas
free slots games,casino (exclude),4400,11.86,MEDIUM,informational,22,ideas
lotto results today saturday,casino (exclude),4400,0.11,LOW,informational,30,ideas
postcode lottery app,casino (exclude),4400,0.38,LOW,informational,17,ideas
betting sign up offers,C offers/free bets,4400,57.4,MEDIUM,transactional,50,ideas
betfred free spins,competitor/brand,4400,11.44,LOW,commercial,2,ideas
lotto app,casino (exclude),4400,1.37,LOW,transactional,47,ideas
tote betting,competitor/brand,4400,7.77,LOW,commercial,12,ideas
free bets no deposit,bonus-hunter/offshore (exclude),4400,19.72,MEDIUM,commercial,14,comp:midnite.com|ideas|sugg
what are the odds of winning the lottery,casino (exclude),4400,6.76,LOW,informational,17,ideas
best betting sign up offers,C offers/free bets,4400,58.08,LOW,commercial,42,ideas
bet365 live chat,competitor/brand,4400,4.54,LOW,navigational,32,ideas
horse racing sky bet,competitor/brand,4400,5.14,LOW,commercial,,ideas
betting offers,C offers/free bets,4400,61.66,LOW,commercial,72,ideas
grosvenor betting,competitor/brand,4400,3.63,LOW,commercial,9,ideas
betting offers sign up,C offers/free bets,4400,57.4,MEDIUM,commercial,50,ideas
clubs 4 cash,G other,4400,0.22,HIGH,informational,8,ideas
lottery results live,casino (exclude),4400,2.52,LOW,informational,29,ideas
rtg pure football,E sport-specific,4400,,LOW,informational,7,ideas
amazon prime champions league,G other,4400,,LOW,commercial,11,ideas
corals online betting,competitor/brand,4400,4.61,LOW,commercial,41,ideas
bingo bash free chips,casino (exclude),4400,6.35,LOW,commercial,0,ideas
dafc.net football forum,E sport-specific,4400,,LOW,navigational,0,ideas
betting tips today,informational (exclude),4400,11.47,LOW,commercial,65,ideas
best bingo sites,casino (exclude),4400,42.02,MEDIUM,commercial,49,ideas
lotto results live,casino (exclude),4400,2.52,LOW,informational,9,ideas
football games online,E sport-specific,4400,0.56,LOW,informational,49,ideas
betting free bets no deposit,bonus-hunter/offshore (exclude),4400,19.72,MEDIUM,commercial,34,sugg
free no deposit bets,bonus-hunter/offshore (exclude),4400,19.72,MEDIUM,commercial,34,sugg
free bets no deposit required,bonus-hunter/offshore (exclude),4400,19.72,MEDIUM,commercial,13,sugg
free bets with no deposit,bonus-hunter/offshore (exclude),4400,19.72,MEDIUM,commercial,34,sugg
free bets without deposit,C offers/free bets,4400,19.72,MEDIUM,commercial,36,sugg
no deposit free bets,bonus-hunter/offshore (exclude),4400,19.72,MEDIUM,commercial,34,sugg
free bets without any deposit,C offers/free bets,4400,19.72,MEDIUM,commercial,14,sugg
tips football betting today,informational (exclude),4400,10.53,LOW,commercial,65,sugg
betting on football today,E sport-specific,4400,24.58,LOW,commercial,65,sugg
football today betting,E sport-specific,4400,24.58,LOW,commercial,65,sugg
betting tips for today football,informational (exclude),4400,10.53,LOW,commercial,65,sugg
football betting tips today,informational (exclude),4400,10.53,LOW,commercial,62,sugg
betting football tips today,informational (exclude),4400,10.53,LOW,commercial,65,sugg
today football match betting tips,informational (exclude),4400,10.53,LOW,commercial,64,sugg
football betting today tips,informational (exclude),4400,10.53,LOW,commercial,65,sugg
football betting tips for today,informational (exclude),4400,10.53,LOW,commercial,65,sugg
betting on today's football,E sport-specific,4400,24.58,LOW,informational,65,sugg
betting football tips for today,informational (exclude),4400,10.53,LOW,commercial,65,sugg
betting tips for today's football,informational (exclude),4400,10.53,LOW,commercial,65,sugg
betting tips for football tonight,informational (exclude),4400,10.53,LOW,informational,55,sugg
football betting today,E sport-specific,4400,24.58,LOW,commercial,65,sugg
football betting tips tonight,informational (exclude),4400,10.53,LOW,informational,68,sugg
football betting for today,E sport-specific,4400,24.58,LOW,commercial,65,sugg
tips for football betting today,informational (exclude),4400,10.53,LOW,commercial,65,sugg
betting football today,E sport-specific,4400,24.58,LOW,commercial,65,sugg
today's football betting,E sport-specific,4400,24.58,LOW,commercial,65,sugg
today football betting tips,informational (exclude),4400,10.53,LOW,commercial,65,sugg
today's football betting tips,informational (exclude),4400,10.53,LOW,commercial,65,sugg
betting today football,E sport-specific,4400,24.58,LOW,commercial,65,sugg
football tips betting today,informational (exclude),4400,10.53,LOW,commercial,65,sugg
today football betting,E sport-specific,4400,24.58,LOW,commercial,65,sugg
2 numbers on lotto,casino (exclude),4400,0.8199999928474426,LOW,informational,17,comp:bet442.co.uk
basketball game how long,G other,4400,,LOW,informational,0,comp:bet442.co.uk
basketball how long is a game,G other,4400,,LOW,informational,0,comp:bet442.co.uk
how long is a basketball game,G other,4400,,LOW,informational,2,comp:bet442.co.uk
how long is a basketball match,G other,4400,,LOW,informational,5,comp:bet442.co.uk
how long.is a basketball game,G other,4400,,LOW,informational,0,comp:bet442.co.uk
pt to pt,G other,4400,0.7099999785423279,LOW,informational,21,comp:bet442.co.uk
scan lottery ticket,casino (exclude),4400,0.4099999964237213,LOW,transactional,11,comp:bet442.co.uk
scanning lottery tickets,casino (exclude),4400,0.5,LOW,informational,9,comp:bet442.co.uk
scratch cards lottery,casino (exclude),4400,1.9300000667572021,LOW,informational,0,comp:bet442.co.uk
scratch cards lottostar,casino (exclude),4400,1.9300000667572021,LOW,transactional,0,comp:bet442.co.uk
uk millionaire maker code,G other,4400,1.3199999332427979,LOW,informational,7,comp:bet442.co.uk
blackjack online,casino (exclude),4400,60.95000076293945,LOW,commercial,40,comp:betgoodwin.co.uk
bookmakers online,F generic betting/sites,4400,64.12999725341797,MEDIUM,commercial,90,comp:betgoodwin.co.uk
casino games online play,casino (exclude),4400,72.76000213623047,LOW,commercial,57,comp:betgoodwin.co.uk
online bookmakers,F generic betting/sites,4400,62.0099983215332,MEDIUM,commercial,68,comp:betgoodwin.co.uk
betting free bet no deposit,bonus-hunter/offshore (exclude),4400,19.299999237060547,MEDIUM,commercial,16,comp:midnite.com
double bubble casino,casino (exclude),4400,3.3899998664855957,LOW,informational,5,comp:midnite.com
best free solitaire,G other,3600,0.85,LOW,informational,32,ideas
uk bookmakers,F generic betting/sites,3600,52.01,MEDIUM,commercial,38,comp:betgoodwin.co.uk|ideas
bet online,F generic betting/sites,3600,59.33,LOW,commercial,64,comp:betgoodwin.co.uk|ideas
uk lottery results today,casino (exclude),3600,1.39,LOW,informational,39,ideas
irish lottery results for today,casino (exclude),3600,2.77,LOW,informational,25,ideas
uk casinos,casino (exclude),3600,61.08,MEDIUM,commercial,57,ideas
gambling apps uk,B betting app,3600,74.49,MEDIUM,commercial,27,comp:betgoodwin.co.uk|ideas
50 free spins no deposit no wager,casino (exclude),3600,8.25,MEDIUM,transactional,7,ideas
national lottery login uk,casino (exclude),3600,0.18,LOW,navigational,50,ideas
uk lottery results history,casino (exclude),3600,0.18,LOW,informational,9,ideas
best gambling sites,G other,3600,105.52,MEDIUM,commercial,47,ideas
new uk online casinos,casino (exclude),3600,31.92,MEDIUM,commercial,67,ideas
betting odds,G other,3600,8.37,LOW,commercial,75,ideas
best bingo sites uk,casino (exclude),3600,43.18,MEDIUM,commercial,60,ideas
canale live,G other,3600,,LOW,navigational,48,ideas
top 10 casino online uk,casino (exclude),3600,38.83,MEDIUM,commercial,41,ideas
bet365 horse racing,competitor/brand,3600,1.24,LOW,commercial,2,ideas
casino sign up bonus,casino (exclude),3600,63.46,MEDIUM,transactional,50,ideas
william hill slots,competitor/brand,3600,13.02,LOW,informational,6,ideas
next bond odds,G other,3600,,LOW,commercial,6,ideas
betfred login uk,competitor/brand,3600,6.25,LOW,navigational,42,ideas
best uk bingo sites,casino (exclude),3600,43.18,MEDIUM,commercial,57,ideas
online bingo uk,casino (exclude),3600,49.34,MEDIUM,commercial,68,ideas
premier bet,G other,3600,3.99,LOW,commercial,2,ideas
live score bet log in,G other,3600,8.67,LOW,navigational,22,ideas
spread betting,G other,3600,84.8,MEDIUM,commercial,40,ideas
vickers bet,G other,3600,21.6,LOW,informational,0,ideas
free spins coin master today,casino (exclude),3600,,LOW,informational,39,ideas
best slot sites,casino (exclude),3600,102.38,MEDIUM,commercial,45,ideas
slotpark free coins,casino (exclude),3600,2.74,LOW,commercial,0,ideas
best uk casino,casino (exclude),3600,70.91,MEDIUM,commercial,57,ideas
gala bingo uk,casino (exclude),3600,2.21,LOW,informational,17,ideas
national lottery live,casino (exclude),3600,4.03,LOW,informational,38,ideas
best casino sites uk,casino (exclude),3600,79.13,MEDIUM,commercial,57,ideas
uk betting app,B betting app,3600,74.49,MEDIUM,commercial,31,sugg
betting app uk,B betting app,3600,74.49,MEDIUM,navigational,31,comp:betgoodwin.co.uk|sugg
accumulator,D acca/bet builder,3600,7.94,HIGH,informational,15,sugg
calculator accumulator,informational (exclude),3600,4.11,LOW,transactional,0,sugg
accumulator calculation,D acca/bet builder,3600,4.11,LOW,informational,0,sugg
accumulator calculator,informational (exclude),3600,4.11,LOW,informational,2,sugg
cancel postcode lottery,casino (exclude),3600,2.2100000381469727,LOW,informational,9,comp:bet442.co.uk
check my set for life numbers,G other,3600,1.9900000095367432,LOW,informational,0,comp:bet442.co.uk
define filly,G other,3600,,LOW,informational,11,comp:bet442.co.uk
euromillions millionaire maker,G other,3600,1.059999942779541,LOW,informational,10,comp:bet442.co.uk
euromillions uk millionaire maker,G other,3600,1.059999942779541,LOW,informational,9,comp:bet442.co.uk
f1 how many races left,E sport-specific,3600,0.019999999552965164,LOW,informational,55,comp:bet442.co.uk
how long do rugby games last,E sport-specific,3600,,LOW,informational,7,comp:bet442.co.uk
how long does a rugby game last,E sport-specific,3600,,LOW,informational,7,comp:bet442.co.uk
how long does a rugby match last,E sport-specific,3600,,LOW,informational,7,comp:bet442.co.uk
how long does a rugby union match last,E sport-specific,3600,,LOW,informational,9,comp:bet442.co.uk
how long does rugby last,E sport-specific,3600,,LOW,informational,7,comp:bet442.co.uk
how many numbers for lotto,casino (exclude),3600,1.4800000190734863,LOW,informational,9,comp:bet442.co.uk
how much is people's postcode lottery,casino (exclude),3600,3.119999885559082,LOW,commercial,15,comp:bet442.co.uk
how much is postcode lottery,casino (exclude),3600,2.5399999618530273,LOW,informational,19,comp:bet442.co.uk
how much is the postcode lottery,casino (exclude),3600,3.119999885559082,LOW,informational,17,comp:bet442.co.uk
lotto how many numbers,casino (exclude),3600,2.819999933242798,LOW,informational,5,comp:bet442.co.uk
millionaire maker,G other,3600,3.700000047683716,LOW,informational,3,comp:bet442.co.uk
postcode lottery how much,casino (exclude),3600,2.5399999618530273,LOW,informational,5,comp:bet442.co.uk
uk millionaire maker code tonight,G other,3600,12.09000015258789,LOW,informational,14,comp:bet442.co.uk
best gambling websites,G other,3600,111.8499984741211,MEDIUM,commercial,51,comp:betgoodwin.co.uk
best uk casino sites,casino (exclude),3600,83.08000183105469,MEDIUM,commercial,81,comp:betgoodwin.co.uk
british bookmakers,F generic betting/sites,3600,52.0099983215332,MEDIUM,commercial,51,comp:betgoodwin.co.uk
casinos in uk,casino (exclude),3600,63.04999923706055,MEDIUM,commercial,66,comp:betgoodwin.co.uk
good gambling site,G other,3600,105.5199966430664,MEDIUM,commercial,81,comp:betgoodwin.co.uk
good slots online,casino (exclude),3600,91.83000183105469,LOW,commercial,38,comp:betgoodwin.co.uk
good uk casinos,casino (exclude),3600,70.33999633789062,MEDIUM,commercial,48,comp:betgoodwin.co.uk
horse betting odds,E sport-specific,3600,2.549999952316284,LOW,commercial,65,comp:betgoodwin.co.uk
live roulette online,casino (exclude),3600,124.81999969482422,LOW,transactional,20,comp:betgoodwin.co.uk
online casino play with real money,casino (exclude),3600,69.27999877929688,LOW,transactional,85,comp:betgoodwin.co.uk
online gambling real money,G other,3600,69.27999877929688,LOW,transactional,83,comp:betgoodwin.co.uk
online slots real money,casino (exclude),3600,92.51000213623047,LOW,transactional,63,comp:betgoodwin.co.uk
real cash casino games online,casino (exclude),3600,69.27999877929688,LOW,transactional,67,comp:betgoodwin.co.uk
real cash online casino,casino (exclude),3600,69.27999877929688,LOW,transactional,71,comp:betgoodwin.co.uk
real money gambling online,G other,3600,72.9800033569336,LOW,transactional,79,comp:betgoodwin.co.uk
sports betting uk,E sport-specific,3600,61.380001068115234,MEDIUM,commercial,74,comp:betgoodwin.co.uk
top casinos uk,casino (exclude),3600,70.91000366210938,MEDIUM,commercial,57,comp:betgoodwin.co.uk
uk bookies,F generic betting/sites,3600,52.0099983215332,MEDIUM,commercial,54,comp:betgoodwin.co.uk
uk sports betting,E sport-specific,3600,58.77000045776367,MEDIUM,commercial,62,comp:betgoodwin.co.uk
mobi casino,casino (exclude),3600,21.270000457763672,LOW,commercial,60,comp:midnite.com
time bet,G other,3600,3.8399999141693115,LOW,informational,16,comp:midnite.com
time bets,G other,3600,3.8399999141693115,LOW,informational,21,comp:midnite.com
top 50 betting sites uk,F generic betting/sites,2900,37.67,LOW,commercial,40,ideas|sugg
betting shop,G other,2900,24.69,LOW,commercial,98,ideas
badman betting,G other,2900,18.13,LOW,commercial,1,ideas
ladbrokes free spins,competitor/brand,2900,9.88,LOW,commercial,0,ideas
matched betting blog,G other,2900,8.25,LOW,commercial,22,ideas
casino no deposit bonus,casino (exclude),2900,9.67,MEDIUM,commercial,17,ideas
free spins on coin master,casino (exclude),2900,2.33,LOW,informational,31,ideas
leovegas uk,competitor/brand,2900,9.67,LOW,commercial,30,ideas
euromillions today,G other,2900,1.06,LOW,informational,52,ideas
coral betting login,competitor/brand,2900,0.93,LOW,navigational,43,ideas
7bet uk,competitor/brand,2900,6.1,MEDIUM,commercial,7,comp:bet442.co.uk|ideas
hollywoodbets uk,competitor/brand,2900,2.37,LOW,commercial,26,ideas
legion betting,G other,2900,18.1,LOW,commercial,0,ideas
free blackjack,casino (exclude),2900,8.95,LOW,informational,39,ideas
free bet offers,C offers/free bets,2900,43.02,MEDIUM,commercial,74,ideas
football betting sites,E sport-specific,2900,72.49,LOW,commercial,82,comp:betgoodwin.co.uk|ideas|sugg
national lottery co uk results,casino (exclude),2900,0.21,LOW,informational,30,ideas
ea help live chat,G other,2900,,LOW,informational,21,ideas
intimissimi top,G other,2900,0.18,HIGH,transactional,0,ideas
top 20 online casinos uk,casino (exclude),2900,37.63,LOW,commercial,67,ideas
uk casino slots,casino (exclude),2900,43.22,MEDIUM,commercial,56,ideas
www lottery co uk,casino (exclude),2900,0.86,LOW,navigational,39,ideas
betfair tips,competitor/brand,2900,,LOW,commercial,65,ideas
cheltenham free bets,C offers/free bets,2900,,LOW,commercial,3,ideas|sugg
ea customer support live chat,G other,2900,,LOW,navigational,22,ideas
casino slots uk,casino (exclude),2900,43.22,MEDIUM,commercial,56,ideas
vero moda uk,G other,2900,0.53,HIGH,informational,9,ideas
live fpl price changes,G other,2900,,LOW,informational,14,ideas
uk slots casino,casino (exclude),2900,43.22,MEDIUM,commercial,48,comp:betgoodwin.co.uk|ideas
betting websites,G other,2900,74.38,MEDIUM,commercial,74,comp:betgoodwin.co.uk|ideas
lucky 15 tips tomorrow,informational (exclude),2900,2.82,LOW,informational,0,ideas
bet sites uk,G other,2900,61.38,MEDIUM,commercial,81,comp:betgoodwin.co.uk|ideas
deposit with phone bill casino,casino (exclude),2900,10.62,MEDIUM,transactional,4,ideas
euromillions live draw,G other,2900,1.34,LOW,informational,29,ideas
bet casino,casino (exclude),2900,46.39,MEDIUM,commercial,61,comp:betgoodwin.co.uk|ideas
lucky 15 tips for tomorrow,informational (exclude),2900,2.82,LOW,informational,0,ideas
odds of winning premium bonds with 50000,G other,2900,,LOW,informational,15,ideas
free lottery,casino (exclude),2900,6.36,LOW,informational,18,ideas
paddy power free spins,competitor/brand,2900,16.07,LOW,commercial,15,ideas
free spins no deposit win real money,casino (exclude),2900,5.84,LOW,transactional,15,ideas
betting sites soccer,F generic betting/sites,2900,72.49,LOW,commercial,71,sugg
betting sites for football,E sport-specific,2900,72.49,LOW,commercial,42,comp:betgoodwin.co.uk|sugg
top 50 uk betting sites,F generic betting/sites,2900,37.67,LOW,commercial,40,sugg
soccer betting sites,F generic betting/sites,2900,72.49,LOW,commercial,50,sugg
betting sites for soccer,F generic betting/sites,2900,72.49,LOW,commercial,52,comp:betgoodwin.co.uk|sugg
betting sites football,E sport-specific,2900,72.49,LOW,commercial,82,sugg
online betting sites uk,F generic betting/sites,2900,61.38,MEDIUM,commercial,72,sugg
betting football sites,E sport-specific,2900,72.49,LOW,commercial,51,comp:betgoodwin.co.uk|sugg
free bets at cheltenham,C offers/free bets,2900,,LOW,commercial,20,sugg
free cheltenham bets,G other,2900,,LOW,commercial,14,sugg
free bets for cheltenham,C offers/free bets,2900,,LOW,commercial,3,sugg
free bets on cheltenham,C offers/free bets,2900,,LOW,commercial,14,sugg
free bets cheltenham,C offers/free bets,2900,,LOW,commercial,22,sugg
cheltenham festival free bets,C offers/free bets,2900,,LOW,commercial,4,sugg
betting websites football,E sport-specific,2900,72.49,LOW,commercial,69,sugg
betting site for football,E sport-specific,2900,72.49,LOW,commercial,66,comp:betgoodwin.co.uk|sugg
betting site football,E sport-specific,2900,72.49,LOW,commercial,82,sugg
betting websites for football,E sport-specific,2900,72.49,LOW,commercial,69,sugg
football betting website,E sport-specific,2900,72.49,LOW,commercial,69,sugg
football betting websites,E sport-specific,2900,72.49,LOW,commercial,69,sugg
2 numbers on euromillions,G other,2900,4.480000019073486,LOW,informational,7,comp:bet442.co.uk
3 numbers on lotto,casino (exclude),2900,4.849999904632568,LOW,informational,11,comp:bet442.co.uk
betpawa tz,G other,2900,3.8899998664855957,LOW,informational,19,comp:bet442.co.uk
betting pages,G other,2900,74.37999725341797,MEDIUM,commercial,72,comp:bet442.co.uk|comp:betgoodwin.co.uk
check my postcode lottery account,casino (exclude),2900,0.5699999928474426,LOW,informational,22,comp:bet442.co.uk
football gambling websites,E sport-specific,2900,77.08999633789062,LOW,commercial,60,comp:bet442.co.uk|comp:betgoodwin.co.uk
how long is an ice hockey match,G other,2900,,LOW,informational,1,comp:bet442.co.uk
how long is ice hockey match,G other,2900,,LOW,informational,1,comp:bet442.co.uk
how much do premiership referees get paid,G other,2900,,LOW,informational,0,comp:bet442.co.uk
pools casino,casino (exclude),2900,14.09000015258789,LOW,commercial,0,comp:bet442.co.uk
premiership referees salary,G other,2900,,LOW,informational,0,comp:bet442.co.uk
thunderball prize breakdown,G other,2900,2.5799999237060547,LOW,informational,0,comp:bet442.co.uk
thunderball prizes,G other,2900,2.440000057220459,LOW,informational,1,comp:bet442.co.uk
uk millionaire maker code results tonight,informational (exclude),2900,0.9100000262260437,LOW,informational,24,comp:bet442.co.uk
betting casino,casino (exclude),2900,46.38999938964844,MEDIUM,commercial,60,comp:betgoodwin.co.uk
betwin,G other,2900,3.759999990463257,MEDIUM,informational,46,comp:betgoodwin.co.uk
cricket betting,E sport-specific,2900,40.209999084472656,LOW,commercial,16,comp:betgoodwin.co.uk
football bet website,E sport-specific,2900,72.48999786376953,LOW,commercial,72,comp:betgoodwin.co.uk
football gambling sites,E sport-specific,2900,72.48999786376953,LOW,commercial,51,comp:betgoodwin.co.uk
online gaming slots,casino (exclude),2900,60.709999084472656,LOW,commercial,48,comp:betgoodwin.co.uk
online roulette,casino (exclude),2900,86.20999908447266,LOW,transactional,26,comp:betgoodwin.co.uk
online slot machines for real money,casino (exclude),2900,91.91000366210938,LOW,transactional,56,comp:betgoodwin.co.uk
roulette online game,casino (exclude),2900,105.2699966430664,LOW,transactional,18,comp:betgoodwin.co.uk
slot machines online real money,casino (exclude),2900,91.91000366210938,LOW,transactional,56,comp:betgoodwin.co.uk
slots games online real money,casino (exclude),2900,91.91000366210938,LOW,transactional,47,comp:betgoodwin.co.uk
web betting,G other,2900,74.37999725341797,MEDIUM,commercial,47,comp:betgoodwin.co.uk
website bet,G other,2900,74.37999725341797,MEDIUM,commercial,63,comp:betgoodwin.co.uk
double bubble bingo and slots,casino (exclude),2900,1.1299999952316284,LOW,transactional,2,comp:midnite.com
double bubble slots,casino (exclude),2900,16.56999969482422,MEDIUM,transactional,3,comp:midnite.com
casino apps,casino (exclude),2400,74.03,MEDIUM,commercial,37,ideas
free spins for coin master,casino (exclude),2400,5.98,LOW,informational,24,ideas
free draw,G other,2400,1.25,LOW,informational,69,ideas
online bingo sites,casino (exclude),2400,44.29,MEDIUM,commercial,74,ideas
fifa live stream,G other,2400,0.89,LOW,informational,57,ideas
doubledown casino free chips,casino (exclude),2400,6.4,LOW,commercial,7,ideas
free bet casino,casino (exclude),2400,29.56,LOW,transactional,50,ideas
5 deposit casino,casino (exclude),2400,20.71,LOW,transactional,7,ideas
national lottery live draw,casino (exclude),2400,6.63,LOW,informational,29,ideas
spl odds,G other,2400,2.45,LOW,informational,20,ideas
irish lotto twitter today,casino (exclude),2400,,LOW,informational,4,ideas
meta betting,G other,2400,3.97,LOW,commercial,0,ideas
check lotto numbers uk,casino (exclude),2400,0.12,LOW,informational,36,ideas
fantasy premier league app,B betting app,2400,1.05,LOW,transactional,27,ideas
forza football goal,E sport-specific,2400,0.99,HIGH,informational,0,ideas
free roulette,casino (exclude),2400,7.42,LOW,informational,6,ideas
betfair sports betting,competitor/brand,2400,5.19,LOW,commercial,17,ideas
mgm bet login,G other,2400,6.18,LOW,navigational,62,ideas
best uk slots,casino (exclude),2400,79.16,MEDIUM,informational,37,comp:betgoodwin.co.uk|ideas
coral casino uk,competitor/brand,2400,1.53,LOW,commercial,43,ideas
5$ deposit casino,casino (exclude),2400,20.71,LOW,transactional,7,ideas
new bingo sites,casino (exclude),2400,31.96,MEDIUM,commercial,30,ideas
memo casino uk,casino (exclude),2400,16.21,LOW,commercial,0,ideas
best uk slot sites,casino (exclude),2400,86.76,MEDIUM,commercial,45,ideas
party casino uk,casino (exclude),2400,1.54,LOW,commercial,27,ideas
pop slots free chips,casino (exclude),2400,4.06,LOW,transactional,4,ideas
paddy power bet,competitor/brand,2400,13.42,LOW,informational,53,ideas
new casino sites uk,casino (exclude),2400,39.51,MEDIUM,commercial,47,ideas
casino slot tips,casino (exclude),2400,0.33,LOW,commercial,10,ideas
free spins uk,casino (exclude),2400,26.89,MEDIUM,commercial,39,ideas
postcode lottery 10 winners today,casino (exclude),2400,3.13,LOW,informational,19,ideas
tips to slot machines,casino (exclude),2400,0.33,LOW,informational,28,ideas
lottery app down,casino (exclude),2400,1.9,LOW,informational,0,ideas
nuts poker league,casino (exclude),2400,,LOW,informational,52,ideas
uk ticket holder wins 26 million euromillions jackpot,G other,2400,,LOW,transactional,19,ideas
uk lotto results tonight,casino (exclude),2400,0.61,LOW,informational,34,ideas
raffle house uk,G other,2400,0.91,MEDIUM,navigational,0,ideas
free slots online,casino (exclude),2400,16.45,LOW,informational,48,ideas
lotto draw today,casino (exclude),2400,0.95,LOW,informational,39,ideas
new uk casino,casino (exclude),2400,36.47,MEDIUM,commercial,55,ideas
william hill free spins,competitor/brand,2400,17.91,LOW,commercial,0,ideas
free hit fpl,G other,2400,,LOW,informational,0,ideas
ladbrokes online betting,competitor/brand,2400,2.91,LOW,commercial,48,ideas
bet master,G other,2400,19.5,MEDIUM,commercial,8,ideas
uk ticket-holder wins 26 million euromillions jackpot,G other,2400,,LOW,transactional,19,ideas
bingo sites online,casino (exclude),2400,44.29,MEDIUM,commercial,55,ideas
winner bet,G other,2400,3.3,LOW,informational,0,ideas
fanatics point free spins,casino (exclude),2400,7.09,LOW,commercial,28,ideas
slots free spins,casino (exclude),2400,41.02,MEDIUM,commercial,39,ideas
ufc betting,G other,2400,36.53,LOW,commercial,23,ideas
free bets uk,C offers/free bets,2400,33.24,MEDIUM,commercial,72,ideas|sugg
lottery co uk results,casino (exclude),2400,2.67,LOW,informational,30,ideas
postcode lottery £10 winners today,casino (exclude),2400,3.13,LOW,informational,19,ideas
free poker games,casino (exclude),2400,4.01,LOW,informational,43,ideas
free casino bets,casino (exclude),2400,29.56,LOW,commercial,50,sugg
casino free bets,casino (exclude),2400,29.56,LOW,commercial,50,sugg
free bets england,C offers/free bets,2400,33.24,MEDIUM,commercial,38,sugg
free bets offers uk,C offers/free bets,2400,33.24,MEDIUM,commercial,39,sugg
free bets casino,casino (exclude),2400,29.56,LOW,commercial,50,sugg
uk free bets,C offers/free bets,2400,33.24,MEDIUM,commercial,72,sugg
bet builder,D acca/bet builder,2400,26.98,MEDIUM,commercial,9,comp:midnite.com|sugg
football betting premiership,E sport-specific,2400,6.15,LOW,commercial,52,sugg
football odds betting,E sport-specific,2400,4.89,LOW,commercial,62,sugg
betting football odds,E sport-specific,2400,4.89,LOW,commercial,62,sugg
premier league football betting,E sport-specific,2400,6.15,LOW,commercial,53,sugg
premier football betting,E sport-specific,2400,6.15,LOW,commercial,58,sugg
football betting premier league,E sport-specific,2400,6.15,LOW,commercial,57,sugg
premiership football betting,E sport-specific,2400,6.15,LOW,commercial,52,sugg
football premier league betting,E sport-specific,2400,6.15,LOW,commercial,53,sugg
odds betting football,E sport-specific,2400,4.89,LOW,commercial,62,sugg
football betting odds,E sport-specific,2400,4.89,LOW,commercial,62,sugg
betting odds football,E sport-specific,2400,4.89,LOW,commercial,62,sugg
best football betting tips today,informational (exclude),2400,2.31,LOW,commercial,58,sugg
football betting and odds,E sport-specific,2400,4.89,LOW,commercial,70,sugg
