Target Hero Keyword,Hero Volume,Page Type,Current / New Page,SC Current Position,Winnability,Realistic Traffic /mo,Plan Status,Page to Beat,Page to Beat Rank
king duvet covers,14800,New,https://sundaycitizen.co/collections/king-duvet-cover,,low,133,Beat competitor,https://www.brooklinen.com/collections/duvet-covers,#4 brooklinen.com (for 'king duvet covers')
duvet covers cooling,2900,New,https://sundaycitizen.co/collections/cooling-duvet-cover,,medium,130,Whitespace — plan new page,,none of the 5 rank top 7
standard vs queen pillow case,2900,New,https://sundaycitizen.co/collections/queen-pillowcase,,medium,130,Beat competitor,https://us.pigletinbed.com/blogs/the-piglet-journal/a-complete-pillowcase-size-guide,#2 us.pigletinbed.com (for 'standard vs queen pillow case')
double wedding ring quilt,2900,New,https://sundaycitizen.co/collections/full-quilt,,medium,130,Beat competitor,https://www.brooklinen.com/collections/quilts-bed-blankets,#2 brooklinen.com (for 'quilts for full size bed')
lightweight down comforter,2900,New,https://sundaycitizen.co/collections/lightweight-comforter,,medium,130,Beat competitor,https://www.brooklinen.com/products/down-comforter,#2 brooklinen.com (for 'best lightweight down comforters')
comforter striped,2900,New,https://sundaycitizen.co/collections/striped-comforter,,medium,130,Beat competitor,https://us.pigletinbed.com/collections/striped-bedding,#2 us.pigletinbed.com (for 'comforter striped')
embroidered pillow,2900,New,https://sundaycitizen.co/collections/embroidered-pillow,,medium,130,Whitespace — plan new page,,none of the 5 rank top 7
tencel modal pajamas,1000,Existing,https://sundaycitizen.co/collections/silky-lyocell-loungewear,,high,120,Whitespace — plan new page,,none of the 5 rank top 7
velvet robe,1000,New,https://sundaycitizen.co/collections/velvet-robe,,high,120,Whitespace — plan new page,,none of the 5 rank top 7
striped blanket,1000,New,https://sundaycitizen.co/collections/striped-blanket,,high,120,Beat competitor,https://www.brooklinen.com/products/striped-lambswool-throw-blanket,#4 brooklinen.com (for 'striped blanket')
bath towels organic,1000,New,https://sundaycitizen.co/collections/organic-towel,,high,120,Beat competitor,https://us.pigletinbed.com/collections/organic-cotton-towels,#2 us.pigletinbed.com (for 'bath towels organic')
twin pillow case size,1000,New,https://sundaycitizen.co/collections/twin-pillowcase,,high,120,Beat competitor,https://us.pigletinbed.com/blogs/the-piglet-journal/a-complete-pillowcase-size-guide,#4 us.pigletinbed.com (for 'twin pillow case size')
ruffled duvet covers,2400,New,https://sundaycitizen.co/collections/ruffled-duvet-cover,,medium,108,Whitespace — plan new page,,none of the 5 rank top 7
faux fur comforter,2400,New,https://sundaycitizen.co/collections/faux-fur-comforter,,medium,108,Whitespace — plan new page,,none of the 5 rank top 7
oversized bedding,2400,New,https://sundaycitizen.co/collections/oversized-bedding,,medium,108,Whitespace — plan new page,,none of the 5 rank top 7
