keyword,last_position,last_rank_absolute,search_volume,etv_when_ranking,keyword_difficulty,cpc,search_intent,lost_url,url_type,is_brand,last_seen
sonos 3 specs,8,11,40,1.0,0,0.7200000286102295,transactional,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-10 12:11:00 +00:00
costantini furniture,7,8,30,1.0,0,0.7599999904632568,navigational,https://wassersfurniture.com/shop-by-brand/a-c/costantini-pietro-furniture.html,legacy .html,False,2026-04-15 06:34:20 +00:00
ekornes coffee table,7,10,30,1.0,0,0.5699999928474426,transactional,https://wassersfurniture.com/ekornes-stressless-you-urban-large-coffee-table.html,legacy .html,False,2026-03-09 13:29:44 +00:00
nursery works luma crib,6,6,30,1.0,0,3.5,navigational,https://wassersfurniture.com/nursery-works-luma-crub-acrylic-rose-gold.html,legacy .html,False,2026-04-17 21:06:18 +00:00
novella crib,8,10,30,1.0,0,1.0099999904632568,informational,https://wassersfurniture.com/nursery-works-novella-crib-nw15001.html,legacy .html,False,2026-04-10 23:43:32 +00:00
american leather dallas outlet,10,11,70,0.8,0,1.1100000143051147,commercial,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,legacy .html,False,2025-07-19 20:08:25 +00:00
american leather swivel chair,10,14,70,0.8,0,4.320000171661377,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/chairs.html,legacy .html,False,2026-04-09 21:51:36 +00:00
antique italian dining chairs,10,16,70,0.8,0,0.6899999976158142,transactional,https://wassersfurniture.com/vintage-italian-dining-chairs-set-of-6.html,legacy .html,False,2026-03-23 13:54:28 +00:00
tempur cloud deluxe,8,10,50,0.8,11,0.9700000286102295,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-03-26 09:51:05 +00:00
all american leather,9,14,50,0.8,5,1.899999976158142,navigational,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,legacy .html,False,2026-04-16 17:35:26 +00:00
american leather queen plus sheets,9,11,50,0.8,0,3.0899999141693115,transactional,https://wassersfurniture.com/american-leather-comfort-sleeper-gotcha-covered-white-sheet-set-sea-salt.html,legacy .html,False,2026-03-26 09:33:08 +00:00
naos coffee table,9,12,50,0.8,0,1.2300000190734863,transactional,https://wassersfurniture.com/naos-coffee-table-hula-motion-quickship.html,legacy .html,False,2026-04-14 03:38:17 +00:00
seat belt dining chairs,9,12,50,0.8,0,0.5799999833106995,transactional,https://wassersfurniture.com/phillips-collection-seatbelt-dining-chair-on-display.html,legacy .html,False,2026-03-25 20:09:09 +00:00
varier furniture,9,14,50,0.8,8,1.6399999856948853,navigational,https://wassersfurniture.com/shop-by-brand/r-z/varier.html,legacy .html,False,2026-03-23 18:46:10 +00:00
costantini pietro chair,8,10,40,0.8,0,0.75,transactional,https://wassersfurniture.com/costantini-pietro-charm-dining-chairs-set-of-4-in-stock.html,legacy .html,False,2026-04-12 05:06:44 +00:00
dormer bed,8,10,40,0.8,0,,transactional,https://wassersfurniture.com/monte-design-dorma-bed-queen-and-king.html,legacy .html,False,2026-04-15 02:38:33 +00:00
lafer kiri recliner,8,11,40,0.8,0,0.49000000953674316,transactional,https://wassersfurniture.com/shop-by-brand/l-p/lafer-recliners.html,legacy .html,False,2026-03-09 07:59:49 +00:00
luna chair leather,8,10,40,0.8,0,0.05999999865889549,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-04-14 08:55:37 +00:00
monte luca glider chair and ottoman,9,13,30,0.8,0,3.3299999237060547,transactional,https://wassersfurniture.com/chair-monte-design-luca-nursery-glider.html,legacy .html,False,2026-03-08 10:48:03 +00:00
simon chair,9,15,50,0.6,0,0.6499999761581421,informational,https://wassersfurniture.com/american-leather-simon-re-invented-recliner-blue-high-performance-fabric-in-stock.html,legacy .html,False,2026-04-13 15:06:05 +00:00
american leather parker sectional,10,14,50,0.6,0,1.440000057220459,transactional,https://wassersfurniture.com/american-leather-parker-leather-sofa-showroom-sample-sale.html,legacy .html,False,2026-04-16 17:15:21 +00:00
karges chair,10,14,50,0.6,0,0.2800000011920929,transactional,https://wassersfurniture.com/antique-karges-chairs-set-of-4.html,legacy .html,False,2026-04-11 08:51:25 +00:00
monte recliner glider,10,17,50,0.6,0,0.8799999952316284,transactional,https://wassersfurniture.com/chair-monte-design-grano-glider-recliner.html,legacy .html,False,2026-04-11 02:15:30 +00:00
seat belt dining chair,10,13,50,0.6,0,0.5799999833106995,transactional,https://wassersfurniture.com/phillips-collection-seatbelt-dining-chair-on-display.html,legacy .html,False,2026-03-08 07:22:37 +00:00
costantini pietro dining chair,9,11,40,0.6,0,0.6499999761581421,transactional,https://wassersfurniture.com/costantini-pietro-charm-dining-chairs-set-of-4-in-stock.html,legacy .html,False,2026-03-27 11:44:10 +00:00
crocodile skin chair,9,13,40,0.6,0,0.4000000059604645,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,legacy .html,False,2026-03-27 11:06:25 +00:00
gaga recliner by lafer,10,12,40,0.6,0,1.6299999952316284,transactional,https://wassersfurniture.com/shop-by-brand/l-p/lafer-recliners.html,legacy .html,False,2026-03-26 06:16:44 +00:00
linie design boa,9,9,30,0.6,0,,informational,https://wassersfurniture.com/shop-by-brand/l-p/linie-design.html?p=2,legacy category,False,2026-03-26 23:48:05 +00:00
nursery works gradient crib,8,9,30,0.6,0,,navigational,https://wassersfurniture.com/nursery-works-gradient-crib-nw14001.html,legacy .html,False,2026-04-17 21:06:04 +00:00
pietro costantini italian furniture,8,8,30,0.6,0,1.600000023841858,navigational,https://wassersfurniture.com/shop-by-brand/a-c/costantini-pietro-furniture.html,legacy .html,False,2026-04-17 22:54:53 +00:00
rose gold bassinet,8,10,30,0.6,0,0.11999999731779099,transactional,https://wassersfurniture.com/nursery-works-aura-rose-gold-bassinet.html,legacy .html,False,2026-04-17 19:04:46 +00:00
variable balans chair,8,11,30,0.6,0,0.41999998688697815,transactional,https://wassersfurniture.com/varier-variable-balans-ergonomic-task-chair-with-backrest-free-shipping-no-tax.html,legacy .html,False,2026-03-27 21:05:00 +00:00
hygrometer old,8,13,20,0.6,0,,transactional,https://wassersfurniture.com/vintage-airguide-thermometer-barometer-hygrometer-made-in-usa.html,legacy .html,False,2026-03-10 18:55:33 +00:00
rossetto italy,8,12,20,0.6,0,,informational,https://wassersfurniture.com/shop-by-brand/r-z/rossetto-usa.html,legacy .html,False,2026-03-10 13:38:51 +00:00
bacharach swivel chair,10,11,40,0.5,0,0.6399999856948853,transactional,https://wassersfurniture.com/jonathon-adler-bacharach-swivel-chair-quickship.html,legacy .html,False,2026-04-16 16:16:14 +00:00
gotya covered,10,12,40,0.5,21,,informational,https://wassersfurniture.com/shop-by-brand/d-g/gotcha-covered.html,legacy .html,False,2026-04-11 18:45:25 +00:00
wing coffee table,9,13,30,0.4,0,6.340000152587891,transactional,https://wassersfurniture.com/dia-design-institute-of-america-wings-coffee-table-370-07.html,legacy .html,False,2026-02-06 10:11:29 +00:00
leather arm chairs for sale,10,15,30,0.3,0,1.100000023841858,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/chairs.html,legacy .html,False,2026-03-02 12:22:50 +00:00
lenticular artist,10,15,30,0.3,0,,informational,https://wassersfurniture.com/marc-rudinsky-framed-3-d-lenticular-art-scarface.html,legacy .html,False,2026-03-02 11:57:11 +00:00
tempur cloud luxe king,10,11,20,0.3,0,4.070000171661377,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-02-27 18:10:50 +00:00
