keyword,search_volume,expected_traffic_pos3,cpc,keyword_difficulty,competitors_ranking,competitor_list,sc_current_position,theme,sc_product_line,recommended_action,target_page_type,target_handle_or_url,target_page_title
side sleeping pillow,60500,6050,2.15,,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
good pillows for side sleepers,60500,6050,3.11,3,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillow throw pillows,60500,6050,1.16,,1,parachutehome.com,,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
wedge pillow,60500,6050,1.07,5,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
best pillow for side sleepers,60500,6050,3.11,4,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
nuzzle pillow,60500,6050,1.76,,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
u shaped pregnancy pillow,60500,6050,1.19,4,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
miracle sheets,60500,6050,4.53,1,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
comforter sheets,60500,6050,1.12,17,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
bedding sizes chart,60500,6050,0.85,5,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
bedding size charts,60500,6050,0.85,5,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
beddings bedding,60500,6050,3.32,9,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding sizing chart,60500,6050,0.85,5,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
king bedding dimensions,60500,6050,2.16,,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
king bedding measurements,60500,6050,2.16,13,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
bedclothes bedding,60500,6050,3.32,22,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding measurement chart,60500,6050,0.85,6,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
bath and towel,49500,4950,1.62,6,1,brooklinen.com,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
bathroom towels,49500,4950,1.62,3,1,brooklinen.com,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
bath towels,49500,4950,1.62,6,2,"brooklinen.com,parachutehome.com",,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
beach towels,49500,4950,1.27,,1,brooklinen.com,,beach towel,"— (category page, all fabrics)",build new collection,collection,/collections/beach-towels,Beach Towel
down comforter,49500,4950,4.98,,1,brooklinen.com,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
comforter goose down,49500,4950,4.98,,1,brooklinen.com,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
bathtub towel,49500,4950,1.62,3,2,"brooklinen.com,potterybarn.com",,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
down and feather comforter,49500,4950,4.98,,1,expansion,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
down and feather comforters,49500,4950,4.98,,1,brooklinen.com,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
comforters goose down,49500,4950,4.98,,1,brooklinen.com,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
throw,49500,4950,1.3,18,1,brooklinen.com,,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
throws,49500,4950,1.3,23,2,"brooklinen.com,potterybarn.com",,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
pillow for neck,49500,4950,1.32,8,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
neck ache pillow,49500,4950,2.48,12,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillow for neck pain,49500,4950,2.48,16,2,"expansion,tempurpedic.com",,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillows for cervical pain,49500,4950,2.48,8,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillows for neck pain,49500,4950,2.48,16,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillows neck,49500,4950,1.32,17,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
sore neck pillow,49500,4950,2.48,8,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
cervical pain pillow,49500,4950,2.48,,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
neck problem pillow,49500,4950,2.48,18,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillow for neck problems,49500,4950,2.48,12,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
neckline pillow,49500,4950,1.32,9,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
memory foam pillow,49500,4950,1.76,,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
egyptian cotton sheets,49500,4950,2.94,2,2,"expansion,tempurpedic.com",,cotton / sheets,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-sheets,Cotton Sheets
pillows for cervical neck pain,49500,4950,2.48,5,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
boppy pillow,49500,4950,0.38,,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
coop pillow,49500,4950,1.27,,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
derila ergo pillow,49500,4950,2.88,,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
crochet blanket pattern,49500,4950,0.51,,1,expansion,,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
cursive alphabet practice sheets,49500,4950,0.27,4,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
picnic blanket,49500,4950,0.55,,1,expansion,,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
pendleton blanket,49500,4950,0.75,1,1,expansion,,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
minky couture blanket,49500,4950,0.76,9,1,expansion,,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
bamboo sheets,49500,4950,6.09,2,2,"expansion,sc-material",,bamboo / sheets,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-sheets,Premium Lumière Sheets
quilt patterns,49500,4950,0.45,21,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
ugg blanket,49500,4950,0.83,,1,expansion,,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
pattern quilt,49500,4950,0.45,21,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt patterns quilts,49500,4950,0.45,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt patterned,49500,4950,0.45,21,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt quilting patterns,49500,4950,0.45,6,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
pattern for quilts,49500,4950,0.45,36,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
patterns for quilts,49500,4950,0.45,7,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
patterned quilts,49500,4950,0.45,21,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
southern comforter,49500,4950,0.48,,1,expansion,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
bamboo bedding set,49500,4950,6.09,,2,"expansion,sc-material",,bamboo / bedding,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-bedding,Premium Bamboo Bedding
egyptian cotton bedding set,49500,4950,2.94,,1,expansion,,cotton / bedding,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-bedding,Cotton Bedding
bamboo bedding sets,49500,4950,6.09,,2,"expansion,sc-material",,bamboo / bedding,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-bedding,Premium Bamboo Bedding
egyptian cotton bedding sets,49500,4950,2.94,,1,expansion,,cotton / bedding,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-bedding,Cotton Bedding
bed sheets bamboo,49500,4950,6.09,,2,"expansion,sc-material",,bamboo / sheets,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-sheets,Premium Lumière Sheets
bed sheets egyptian cotton,49500,4950,2.94,,1,expansion,,cotton / sheets,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-sheets,Cotton Sheets
bamboo sheet bed,49500,4950,6.09,,1,expansion,,bamboo / sheets,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-sheets,Premium Lumière Sheets
egyptian cotton bed sheet,49500,4950,2.94,,1,expansion,,cotton / sheets,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-sheets,Cotton Sheets
bath towels towel,49500,4950,1.62,6,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
bathroom bath towels,49500,4950,1.62,12,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
microfiber towels,49500,4950,1.28,,1,expansion,,microfiber / towel,— no current line (product gap),build new collection,collection,/collections/microfiber-towel,Microfiber Towel
bathing towels,49500,4950,1.62,6,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
microfibers towels,49500,4950,1.28,,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
towels in bathtub,49500,4950,1.62,3,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
bamboo linens,49500,4950,6.09,,1,expansion,,bamboo,Premium Lumière (Bamboo),build new collection,collection,/collections/bamboo-collection,Bamboo Collection
bamboo sheets bedding,49500,4950,6.09,,2,"expansion,sc-material",,bamboo / sheets,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-sheets,Premium Lumière Sheets
hos bedding,49500,4950,3.1,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding sheets egyptian cotton,49500,4950,2.94,,1,expansion,,cotton / sheets,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-sheets,Cotton Sheets
hospital bedding,49500,4950,3.1,1,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bamboo sheet bedding,49500,4950,6.09,,2,"expansion,sc-material",,bamboo / sheets,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-sheets,Premium Lumière Sheets
adjustable bedding,49500,4950,13.37,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
down bedding,49500,4950,4.98,20,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bamboo fibre sheets,49500,4950,6.09,20,1,sc-material,,bamboo / sheets,Premium Lumière (Bamboo),optimize existing,collection,/collections/premium-bamboo-sheets,Premium Lumière Sheets
fitted bed sheets,40500,4050,2.18,,2,"brooklinen.com,pigletinbed.com",,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
fitted bottom sheets,40500,4050,2.18,,2,"brooklinen.com,pigletinbed.com",,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
fitted sheets,40500,4050,2.18,,2,"brooklinen.com,pigletinbed.com",,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
fitted sheet,40500,4050,2.18,,3,"brooklinen.com,parachutehome.com,pigletinbed.com",,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
brooklyn bedding,40500,4050,3.78,,1,brooklinen.com,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bed comforters queen,40500,4050,0.85,,2,"brooklinen.com,latestbedding.com",,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
queen bed sets with sheets,40500,4050,0.85,7,3,"brooklinen.com,latestbedding.com,potterybarn.com",,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
queen comforter bedroom sets,40500,4050,0.85,2,2,"brooklinen.com,latestbedding.com",,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
bedding king set,40500,4050,1.16,,1,expansion,,king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/king-bedding,King Bedding
king comforter set,40500,4050,1.16,,2,"brooklinen.com,latestbedding.com",,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
blanket set for queen,40500,4050,0.85,,2,"brooklinen.com,latestbedding.com",,queen / blanket,"— (category page, all fabrics)",build new collection,collection,/collections/queen-blanket,Queen Blanket
king bedspread set,40500,4050,1.16,,1,brooklinen.com,,king / bedspread,"— (category page, all fabrics)",build new collection,collection,/collections/king-bedspread,King Bedspread
queen bed comforter set,40500,4050,0.85,,2,"brooklinen.com,latestbedding.com",,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
queen bedding set with sheets,40500,4050,0.85,,2,"brooklinen.com,latestbedding.com",,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
queen bedding sets with sheets,40500,4050,0.85,,1,brooklinen.com,,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
queen comforter set with sheets,40500,4050,0.85,,2,"brooklinen.com,latestbedding.com",,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
bed sheet fitted,40500,4050,2.18,,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
queen bedding sets,40500,4050,0.85,,2,"latestbedding.com,potterybarn.com",,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
queen bed bedding,40500,4050,0.85,3,3,"expansion,latestbedding.com,potterybarn.com",,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
queen bed bedding set,40500,4050,0.85,2,1,expansion,,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
bedding king sets,40500,4050,1.16,,1,latestbedding.com,,king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/king-bedding,King Bedding
bed comforter set king,40500,4050,1.16,2,1,latestbedding.com,,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
bed comforters queen sets,40500,4050,0.85,,1,latestbedding.com,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
queen bedroom comforter set,40500,4050,0.85,2,2,"expansion,latestbedding.com",,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
queen comforter sets,40500,4050,0.85,2,2,"expansion,latestbedding.com",,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
comforter bedding sets king,40500,4050,1.16,,1,latestbedding.com,,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
bedroom comforters queen,40500,4050,0.85,,1,latestbedding.com,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
bedroom comforter set king,40500,4050,1.16,,2,"expansion,latestbedding.com",,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
comforter sets queen with sheets,40500,4050,0.85,,2,"expansion,latestbedding.com",,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
king comforter sets,40500,4050,1.16,,2,"expansion,latestbedding.com",,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
queen blanket sets,40500,4050,0.85,,1,latestbedding.com,,queen / blanket,"— (category page, all fabrics)",build new collection,collection,/collections/queen-blanket,Queen Blanket
bedroom comforter queen,40500,4050,0.85,,2,"expansion,latestbedding.com",,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
queen bedding sets with comforter,40500,4050,0.85,,1,expansion,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
set comforter queen,40500,4050,0.85,2,1,expansion,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
comforter sheet sets queen,40500,4050,0.85,2,1,expansion,,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
bedspread sets queen,40500,4050,0.85,,1,latestbedding.com,,queen / bedspread,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedspread,Queen Bedspread
king bed bedding set,40500,4050,1.16,,1,expansion,,king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/king-bedding,King Bedding
king bed bedding sets,40500,4050,1.16,,1,expansion,,king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/king-bedding,King Bedding
queen bed sets comforter,40500,4050,0.85,,1,expansion,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
comforter sheet set king,40500,4050,1.16,,1,expansion,,king / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/king-sheets,King Sheets
bed comforter queen,40500,4050,0.85,,1,expansion,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
top pillow,40500,4050,4.11,17,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
fitting bed sheet,40500,4050,2.18,,3,"expansion,parachutehome.com,pigletinbed.com",,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
kids bedding,40500,4050,1.68,,2,"expansion,pigletinbed.com",,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
mellow pillow,40500,4050,1.31,,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
derila pillow,40500,4050,2.36,,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pa docket sheets,40500,4050,1.46,32,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
weighted blanket for anxiety,40500,4050,2.29,21,2,"expansion,sc-material",,weighted blanket,Crystal Weighted Blanket,optimize existing,collection,/collections/weighted-blankets,crystal weighted blankets
soft faux fur blanket,40500,4050,3.28,4,1,expansion,,faux fur / blanket,Snug / Faux Fur,build new collection,collection,/collections/faux-fur-blanket,Faux Fur Blanket
minky blanket,40500,4050,1.11,,1,expansion,,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
king bed comforter sets,40500,4050,1.16,,1,expansion,,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
comforter sheet set queen,40500,4050,0.85,2,1,expansion,,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
bedding comforter set king,40500,4050,1.16,,1,expansion,,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
comforter bedding set queen,40500,4050,0.85,,1,expansion,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
queen bed sheets comforter,40500,4050,0.85,,1,expansion,,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
queen set bedding,40500,4050,0.85,,1,expansion,,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
king bedding set with sheets,40500,4050,1.16,2,1,expansion,,king / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/king-sheets,King Sheets
queen bedding sets comforters,40500,4050,0.85,,1,expansion,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
king bedding comforters & sets,40500,4050,1.16,,1,expansion,,king / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/king-comforter,King Comforter
king bedroom bedding sets,40500,4050,1.16,,1,expansion,,king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/king-bedding,King Bedding
queen bedroom bedding sets,40500,4050,0.85,,1,expansion,,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
queen bed set with sheets,40500,4050,0.85,,1,expansion,,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
table linens factory,40500,4050,2.26,,1,expansion,,general bedding,"— (category page, all fabrics)",build new collection,collection,/collections/bedding,Bedding
cloth table linens,40500,4050,2.85,,1,expansion,,general bedding,"— (category page, all fabrics)",build new collection,collection,/collections/bedding,Bedding
bedding for cat,40500,4050,0.95,5,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding ensembles queen,40500,4050,0.85,,1,expansion,,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
brooklyn's bedding,40500,4050,3.78,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding for cats,40500,4050,0.95,5,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
queen bedroom bedding,40500,4050,0.85,,1,expansion,,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
tanning bedding,40500,4050,2.84,9,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
water bedding,40500,4050,0.48,5,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding comforters queen,40500,4050,0.85,,1,expansion,,queen / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/queen-comforter,Queen Comforter
caterpillar bedding,40500,4050,0.95,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
couch bedding,40500,4050,0.98,5,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
fitted bedding sheets,40500,4050,2.18,,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
fitted sheet bedding,40500,4050,2.18,,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
cotton percale bed sheets,33100,3310,3.5,,3,"brooklinen.com,parachutehome.com,sc-material",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
cotton percale sheets,33100,3310,3.5,,3,"brooklinen.com,parachutehome.com,sc-material",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
good bed sheet,33100,3310,7.36,5,1,brooklinen.com,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
percale bed sheets,33100,3310,4.28,,3,"brooklinen.com,parachutehome.com,sc-material",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
percale sheet,33100,3310,4.28,,2,"brooklinen.com,parachutehome.com",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
percale sheets,33100,3310,4.28,,3,"brooklinen.com,parachutehome.com,sc-material",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
cotton percale sheet,33100,3310,3.5,,2,"brooklinen.com,parachutehome.com",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
good bed sheets,33100,3310,7.36,17,1,brooklinen.com,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
cool sheets,33100,3310,4.16,,1,brooklinen.com,,cooling / sheets,Cloud Cool / Cooling Edit,optimize existing,collection,/collections/cooling-edit-bedding,Cooling Edit Sheets
fitted sheet percale,33100,3310,4.28,,2,"brooklinen.com,parachutehome.com",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
bedding sheet queen,33100,3310,1.9,26,1,brooklinen.com,,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
cotton percale fitted sheet,33100,3310,3.5,,3,"brooklinen.com,parachutehome.com,pigletinbed.com",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
duvet inserts,33100,3310,3.0,,1,brooklinen.com,,duvet,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters-duvets,Comforters + Duvets
fitted sheets percale,33100,3310,4.28,,3,"brooklinen.com,parachutehome.com,sc-material",,percale / sheets,— no current line (product gap),build new collection,collection,/collections/percale-sheets,Percale Sheets
bath robe,33100,3310,1.72,,2,"brooklinen.com,parachutehome.com",,bath robe,"— (category page, all fabrics)",optimize existing,collection,/collections/bath-robes,Bath Robes
coolest sheets,33100,3310,4.14,11,1,brooklinen.com,,cooling / sheets,Cloud Cool / Cooling Edit,optimize existing,collection,/collections/cooling-edit-bedding,Cooling Edit Sheets
cooling bed sheets,33100,3310,4.16,,1,sc-material,,cooling / sheets,Cloud Cool / Cooling Edit,optimize existing,collection,/collections/cooling-edit-bedding,Cooling Edit Sheets
bedding bath,33100,3310,0.8,33,1,expansion,,bath,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
sheets for cooling,33100,3310,4.16,5,1,sc-material,,cooling / sheets,Cloud Cool / Cooling Edit,optimize existing,collection,/collections/cooling-edit-bedding,Cooling Edit Sheets
duvet insert,33100,3310,3.0,,2,"brooklinen.com,parachutehome.com",,duvet,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters-duvets,Comforters + Duvets
bed sheets queen,33100,3310,1.9,,1,expansion,,queen / sheets,"— (category page, all fabrics)",build new collection,collection,/collections/queen-sheets,Queen Sheets
cooling bedding sheets,33100,3310,4.16,,2,"brooklinen.com,sc-material",,cooling / sheets,Cloud Cool / Cooling Edit,optimize existing,collection,/collections/cooling-edit-bedding,Cooling Edit Sheets
bedding sets for queen bed,33100,3310,1.9,2,2,"latestbedding.com,potterybarn.com",,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
