domain,category,keywords_in_space,etv_in_space,traffic_share_pct,avg_position,visibility
shop.jazwares.com,brand/retail,4,22800,0.12,17.2,2.3
seams-sew-right.com,brand/retail,1,22496,0.12,1.0,1.0
llbean.com,brand/retail,349,21728,0.11,23.4,36.9
potterybarnkids.com,brand/retail,196,21679,0.11,13.0,55.8
faribaultmill.com,brand/retail,32,21648,0.11,5.3,22.8
levtexhome.com,brand/retail,98,21493,0.11,17.5,29.9
premiertablelinens.com,brand/retail,30,21260,0.11,5.3,18.9
miraclebrand.co,brand/retail,46,20902,0.11,35.1,4.2
thereformation.com,brand/retail,83,20832,0.11,13.8,31.8
hawkinsnewyork.com,brand/retail,30,20755,0.11,18.3,6.5
goodhousekeeping.com,publisher,364,20583,0.11,27.2,33.1
linenhandmadestudio.com,brand/retail,107,20391,0.11,16.9,46.0
aquateak.com,brand/retail,9,19960,0.1,12.3,6.0
sheex.com,brand/retail,27,19861,0.1,13.9,13.2
landsend.com,brand/retail,687,19837,0.1,22.2,58.6
saranoni.com,brand/retail,25,19598,0.1,5.2,17.1
us.theoodie.com,brand/retail,28,19431,0.1,4.7,19.7
weezietowels.com,brand/retail,57,19374,0.1,22.7,15.2
dillards.com,brand/retail,744,19297,0.1,28.4,25.4
quiltmuseum.org,brand/retail,8,19289,0.1,5.6,5.8
trustpilot.com,brand/retail,54,19281,0.1,9.7,20.2
mellowsleep.com,brand/retail,13,19188,0.1,11.7,7.3
downandfeathercompany.com,brand/retail,44,19072,0.1,24.3,9.2
shopflax.com,brand/retail,87,19038,0.1,16.3,33.8
ncoa.org,brand/retail,50,18997,0.1,16.5,15.8
mainequilts.org,brand/retail,2,18821,0.1,6.5,1.0
relaxtheback.com,brand/retail,121,18812,0.1,19.0,28.0
jqueen-ny.com,brand/retail,58,18364,0.1,18.5,18.0
craneandcanopy.com,brand/retail,167,18277,0.09,22.9,36.3
kimandono.com,brand/retail,31,18174,0.09,11.3,19.8
allpeoplequilt.com,brand/retail,63,18139,0.09,17.0,14.1
nordstromrack.com,brand/retail,440,17797,0.09,22.7,42.9
solutionbased.com,brand/retail,13,17377,0.09,14.9,4.2
bollandbranch.com,brand/retail,52,17155,0.09,20.6,15.2
thegoodtrade.com,brand/retail,106,17027,0.09,14.3,33.6
merriam-webster.com,brand/retail,29,16968,0.09,16.1,9.2
consumerreports.org,brand/retail,142,16955,0.09,18.4,27.0
thecushionlab.com,brand/retail,93,16015,0.08,18.9,25.6
littleunicorn.com,brand/retail,13,16006,0.08,14.2,6.0
juicycouture.com,brand/retail,20,15921,0.08,10.9,9.7
linenme.com,brand/retail,74,15796,0.08,28.4,17.7
thehouseofnoa.com,brand/retail,94,15789,0.08,20.1,31.1
victoriassecret.com,brand/retail,111,15770,0.08,12.3,56.1
tempurpillows.com,brand/retail,26,15714,0.08,12.1,14.0
byourbed.com,brand/retail,69,15697,0.08,18.4,15.3
ellesilk.com,brand/retail,62,15523,0.08,27.3,12.7
nestig.com,brand/retail,14,15268,0.08,16.3,3.8
urbanoutfitters.com,brand/retail,356,15250,0.08,30.0,19.1
bumpsuit.com,brand/retail,3,15167,0.08,5.7,1.9
nymag.com,publisher,342,15161,0.08,25.5,30.0
shabbyfabrics.com,brand/retail,61,15127,0.08,25.2,8.0
cozyquilt.com,brand/retail,2,15123,0.08,3.0,1.6
mattressfirm.com,brand/retail,312,14992,0.08,25.5,20.5
frontgate.com,brand/retail,127,14775,0.08,24.0,16.3
twopagescurtains.com,brand/retail,21,14696,0.08,13.9,9.9
express.com,brand/retail,77,14627,0.08,26.4,11.5
signaturehardware.com,brand/retail,30,14625,0.08,12.7,8.6
garnethill.com,brand/retail,280,14539,0.08,24.1,33.6
twinxl.com,brand/retail,91,14400,0.07,21.3,22.1
sferra.com,brand/retail,94,14094,0.07,19.9,23.8
loandbeholdstitchery.com,brand/retail,34,14058,0.07,10.7,14.6
photos3.walmart.com,brand/retail,12,14043,0.07,11.1,7.0
ronatheribbiter.com,brand/retail,5,14002,0.07,11.0,1.4
fabricdepot.com,brand/retail,22,13977,0.07,22.9,3.3
sleepnumber.com,brand/retail,115,13793,0.07,20.3,19.8
ecosa.com,brand/retail,7,13725,0.07,12.1,3.2
society6.com,brand/retail,95,13524,0.07,21.0,29.1
ruggable.com,brand/retail,153,13314,0.07,19.4,36.8
mamainastitch.com,brand/retail,54,13273,0.07,13.3,18.6
thebathoutlet.com,brand/retail,19,13225,0.07,10.9,9.2
birchlane.com,brand/retail,219,13222,0.07,21.0,29.9
tech.yahoo.com,brand/retail,1,13216,0.07,13.0,0.1
rumpl.com,brand/retail,17,13202,0.07,13.3,9.0
luluandgeorgia.com,brand/retail,89,13189,0.07,21.8,26.7
walgreens.com,brand/retail,96,13187,0.07,18.0,15.5
selfieleslie.com,brand/retail,32,13135,0.07,19.8,7.4
luxurysparobes.com,brand/retail,82,13031,0.07,20.5,23.9
worldmarket.com,brand/retail,165,12992,0.07,18.0,28.4
californiadesignden.com,brand/retail,94,12958,0.07,23.7,10.2
dormco.com,brand/retail,49,12899,0.07,16.8,14.3
blueq.com,brand/retail,4,12891,0.07,1.5,3.8
featheredfriends.com,brand/retail,7,12785,0.07,8.0,4.3
shop.marriott.com,brand/retail,61,12778,0.07,19.4,18.2
jordanfabrics.com,brand/retail,39,12685,0.07,21.2,7.6
portandbay.com,brand/retail,9,12604,0.07,16.4,3.8
sondeflor.com,brand/retail,73,12601,0.07,18.3,16.9
techtarget.com,brand/retail,1,12544,0.06,14.0,0.1
thequiltplace.com,brand/retail,6,12409,0.06,7.3,2.6
trtltravel.com,brand/retail,20,12363,0.06,8.8,11.1
laweekly.com,brand/retail,3,12316,0.06,3.0,2.4
weddinglinensdirect.com,brand/retail,14,12203,0.06,9.8,7.6
quiltyloveshop.com,brand/retail,16,12051,0.06,22.6,4.9
memorystitch.com,brand/retail,7,11981,0.06,2.9,5.7
dickssportinggoods.com,brand/retail,51,11965,0.06,23.9,7.3
cb2.com,brand/retail,266,11962,0.06,24.0,26.5
medcline.com,brand/retail,38,11858,0.06,15.7,14.7
myfavoritequiltstore.com,brand/retail,19,11623,0.06,17.9,4.8
seriouseats.com,brand/retail,33,11597,0.06,11.0,15.8
prairiepoint.com,brand/retail,4,11581,0.06,24.0,1.8
sewcanshe.com,brand/retail,78,11534,0.06,17.8,15.0
anniesattic.com,brand/retail,38,11508,0.06,21.4,6.0
