domain,category,keywords_in_space,etv_in_space,traffic_share_pct,avg_position,visibility
norwex.com,brand/retail,5,598,0.0,27.6,1.2
linensalvage.com,brand/retail,4,597,0.0,8.5,2.6
giantex.com,brand/retail,4,595,0.0,8.5,2.0
quiltershq.com,brand/retail,2,594,0.0,23.5,0.1
nutsandboltsfabric.com,brand/retail,2,594,0.0,4.0,1.4
chiroflow.com,brand/retail,2,594,0.0,2.5,1.7
mykitchenandbath.com,brand/retail,2,593,0.0,17.5,0.6
aloha-nutrition.com,brand/retail,2,593,0.0,4.0,1.4
pajamagram.com,brand/retail,6,593,0.0,12.2,2.4
aran.com,brand/retail,2,593,0.0,5.0,1.2
homegoods.com,brand/retail,14,592,0.0,48.6,1.1
matadorequipment.com,brand/retail,2,591,0.0,26.0,0.3
hippainhelp.com,brand/retail,2,591,0.0,3.5,1.5
contourproducts.com,brand/retail,4,590,0.0,7.8,1.8
liberator.com,brand/retail,3,590,0.0,34.3,0.9
angelcarebaby.com,brand/retail,2,589,0.0,11.5,1.0
nursejamie.com,brand/retail,2,589,0.0,9.0,1.0
montgomerycountypa.gov,brand/retail,2,588,0.0,9.0,0.4
guestsupply.com,brand/retail,7,587,0.0,19.9,1.6
bedgear.com,brand/retail,19,585,0.0,25.2,1.5
rollingstone.com,publisher,28,585,0.0,29.4,3.1
forum.mattressunderground.com,brand/retail,23,584,0.0,32.4,1.3
funnyfuzzy.com,brand/retail,10,584,0.0,17.9,1.6
menshealth.com,brand/retail,20,584,0.0,30.4,1.4
showerrods.com,brand/retail,6,584,0.0,19.3,0.2
beaufortccc.edu,brand/retail,1,583,0.0,2.0,0.9
dope.gallery,brand/retail,1,583,0.0,2.0,0.9
thesweetspotpillow.com,brand/retail,1,583,0.0,2.0,0.9
bluemountainhay.com,brand/retail,1,583,0.0,2.0,0.9
customtowelsnow.com,brand/retail,1,583,0.0,2.0,0.9
towelsandblankets.com,brand/retail,1,583,0.0,2.0,0.9
ourkindra.com,brand/retail,1,583,0.0,2.0,0.9
thegamer.com,brand/retail,1,583,0.0,2.0,0.9
secondskinaudio.com,brand/retail,1,583,0.0,2.0,0.9
hookandloom.com,brand/retail,1,583,0.0,2.0,0.9
mayatex.com,brand/retail,1,583,0.0,2.0,0.9
bigskyquilts.com,brand/retail,1,583,0.0,2.0,0.9
finfunmermaid.com,brand/retail,1,583,0.0,2.0,0.9
snugglewarm.com,brand/retail,2,582,0.0,19.5,1.0
oprahdaily.com,brand/retail,41,581,0.0,39.1,1.2
beyondbeds.com,brand/retail,11,580,0.0,46.5,0.0
newsobserver.com,brand/retail,1,580,0.0,16.0,0.1
heyrowan.com,brand/retail,2,580,0.0,3.0,1.6
yawnder.com,brand/retail,48,579,0.0,42.5,0.2
baytowel.com,brand/retail,2,579,0.0,6.0,1.0
linenhouse.co.nz,brand/retail,2,578,0.0,57.0,0.0
myalpaca-luxurycraft.com,brand/retail,2,578,0.0,61.5,0.0
peekaboopatternshop.com,brand/retail,4,578,0.0,10.0,0.8
aldi.us,brand/retail,2,578,0.0,15.0,1.0
bestbath.com,brand/retail,1,578,0.0,1.0,1.0
betseyjohnsonbedding.com,brand/retail,1,578,0.0,1.0,1.0
thepineconehill.com,brand/retail,1,578,0.0,1.0,1.0
mauiquiltshop.com,brand/retail,1,578,0.0,1.0,1.0
solventum.com,brand/retail,1,578,0.0,1.0,1.0
southerngeosupplyllc.com,brand/retail,1,578,0.0,1.0,1.0
barnwoodusa.com,brand/retail,1,578,0.0,1.0,1.0
alwayshomeconnected.com,brand/retail,1,578,0.0,1.0,1.0
us.bbhugme.com,brand/retail,1,578,0.0,1.0,1.0
bedfans-usa.com,brand/retail,1,578,0.0,1.0,1.0
skinandme.com,brand/retail,1,578,0.0,1.0,1.0
images.pcmac.org,brand/retail,1,578,0.0,1.0,1.0
titleboxing.com,brand/retail,1,578,0.0,1.0,1.0
wordfinder.yourdictionary.com,brand/retail,1,578,0.0,1.0,1.0
sabsstuffies.com,brand/retail,1,578,0.0,1.0,1.0
shop.dc.com,brand/retail,1,578,0.0,1.0,1.0
papersplease.fandom.com,brand/retail,1,578,0.0,1.0,1.0
ucanr.edu,brand/retail,1,578,0.0,1.0,1.0
mosaicweightedblankets.com,brand/retail,13,577,0.0,23.7,1.1
cabinplace.com,brand/retail,25,576,0.0,28.0,2.6
shopterrain.com,brand/retail,3,576,0.0,18.0,0.9
canadiandownandfeather.com,brand/retail,5,575,0.0,20.8,1.4
kohlershowers.com,brand/retail,4,574,0.0,19.8,0.5
dnkmobile.com,brand/retail,8,574,0.0,16.0,2.7
loulouandcompany.com,brand/retail,5,572,0.0,12.6,2.4
supercoloring.com,brand/retail,4,572,0.0,6.2,2.1
moonlightquilters.com,brand/retail,3,570,0.0,37.0,0.0
cpaptalk.com,brand/retail,4,570,0.0,30.0,0.1
terrytown.com,brand/retail,16,569,0.0,28.8,2.2
independentliving.com,brand/retail,2,569,0.0,3.5,1.5
rockymountainhardware.com,brand/retail,1,568,0.0,7.0,0.4
cascadedesigns.com,brand/retail,3,568,0.0,8.7,1.7
geesbendquiltingretreats.com,brand/retail,1,567,0.0,5.0,0.6
westernsleepsolutions.com,brand/retail,1,567,0.0,5.0,0.6
lambandloomfabrics.com,brand/retail,1,567,0.0,5.0,0.6
pioneerquiltshop.com,brand/retail,2,566,0.0,23.0,0.2
madewell.com,brand/retail,37,566,0.0,32.5,2.1
featherstitchny.com,brand/retail,5,566,0.0,10.6,2.3
scottjeffrey.com,brand/retail,4,566,0.0,13.2,0.4
livelinen.us,brand/retail,19,565,0.0,44.9,0.1
bedlinensetc.com,brand/retail,43,565,0.0,34.3,0.2
linenchest.com,brand/retail,26,565,0.0,43.1,1.0
indeed.com,brand/retail,3,564,0.0,5.7,1.6
beehivequiltshop.com,brand/retail,4,564,0.0,18.0,1.3
supplyleader.com,brand/retail,45,563,0.0,38.4,0.2
popsugar.com,brand/retail,14,563,0.0,49.7,0.7
knots3d.com,brand/retail,2,562,0.0,4.5,1.3
hvmag.com,brand/retail,1,561,0.0,15.0,0.1
towelhub.com,brand/retail,21,561,0.0,22.2,2.8
inthegardenandmore.com,brand/retail,2,561,0.0,2.5,1.7
popshelf.com,brand/retail,16,560,0.0,34.2,0.1
weddingwire.com,brand/retail,4,560,0.0,18.2,0.9
universalstandard.com,brand/retail,7,560,0.0,23.1,1.9
lessontutor.com,brand/retail,1,559,0.0,10.0,0.1
davidsbridal.com,brand/retail,42,559,0.0,28.0,2.0
marketonoak.shop,brand/retail,4,559,0.0,11.0,1.1
1800wheelchair.com,brand/retail,13,559,0.0,19.4,1.5
word.tips,brand/retail,3,557,0.0,10.7,0.9
laylasleep.com,brand/retail,9,556,0.0,25.1,1.4
community.sleepfoundation.org,brand/retail,7,556,0.0,12.9,0.7
worldlinen.com,brand/retail,8,556,0.0,28.6,1.1
marianos.com,brand/retail,4,555,0.0,17.5,0.5
sartorbohemia.com,brand/retail,5,555,0.0,30.4,0.7
quiltingquarters.net,brand/retail,2,554,0.0,11.0,0.8
southerntide.com,brand/retail,3,554,0.0,14.7,0.9
tildasworld.com,brand/retail,2,553,0.0,10.5,0.2
cpapsupplies.com,brand/retail,5,552,0.0,12.8,1.8
twingocarrier.com,brand/retail,2,551,0.0,2.0,1.8
sweethomecollection.com,brand/retail,12,550,0.0,21.2,1.0
clrclr.com,brand/retail,4,549,0.0,25.5,1.5
liveartgalleryfabrics.com,brand/retail,8,548,0.0,16.0,1.2
scheels.com,brand/retail,11,548,0.0,29.8,0.2
buybuybaby.bedbathandbeyond.com,brand/retail,7,548,0.0,18.1,0.3
maps.apple.com,brand/retail,13,548,0.0,11.6,2.7
quizlet.com,brand/retail,5,548,0.0,30.2,0.9
en.pons.com,brand/retail,2,546,0.0,8.5,0.5
themomedit.com,brand/retail,5,546,0.0,6.4,2.3
pyleusa.com,brand/retail,14,546,0.0,8.1,5.8
orangemud.com,brand/retail,4,546,0.0,6.2,1.9
lilialessandra.com,brand/retail,12,546,0.0,18.8,2.5
hoogahealth.com,brand/retail,2,544,0.0,6.5,0.9
oatmealfarm-uploads.s3.amazonaws.com,brand/retail,3,543,0.0,33.3,0.0
towelsupercenter.com,brand/retail,12,539,0.0,22.2,2.0
laundrysheets.com,brand/retail,2,539,0.0,13.5,0.8
ispot.tv,brand/retail,8,538,0.0,19.0,0.2
westernpassion.com,brand/retail,3,538,0.0,6.7,1.6
favequilts.com,brand/retail,41,537,0.0,38.2,0.0
heytherehome.com,brand/retail,5,537,0.0,16.6,1.3
thecommense.com,brand/retail,3,537,0.0,4.3,2.0
vecteezy.com,brand/retail,11,537,0.0,12.0,3.5
thefoldline.com,brand/retail,4,536,0.0,25.2,1.6
therobeua.com,brand/retail,19,536,0.0,22.9,4.5
sleepoutfitters.com,brand/retail,12,535,0.0,23.4,0.8
macrobaby.com,brand/retail,11,534,0.0,32.9,0.1
tinystitches.com,brand/retail,3,534,0.0,28.3,0.6
us.framacph.com,brand/retail,1,534,0.0,13.0,0.1
moodygardens.com,brand/retail,1,534,0.0,13.0,0.1
us.alpkit.com,brand/retail,1,534,0.0,4.0,0.7
ors.od.nih.gov,brand/retail,1,534,0.0,4.0,0.7
michaelianhome.com,brand/retail,1,534,0.0,4.0,0.7
hamsterwelfare.com,brand/retail,1,534,0.0,4.0,0.7
suepellanddesigns.com,brand/retail,2,534,0.0,5.5,1.1
seekbamboo.com,brand/retail,2,533,0.0,9.0,1.0
thegranaryquilts.com,brand/retail,3,532,0.0,38.3,0.0
glamixmaternity.com,brand/retail,6,532,0.0,41.7,0.0
quiltique.com,brand/retail,3,532,0.0,43.0,0.0
coolbamboostore.com,brand/retail,11,531,0.0,30.4,0.8
linensnow.com,brand/retail,10,531,0.0,21.3,1.2
linguee.cl,brand/retail,2,531,0.0,28.0,0.5
everlane.com,brand/retail,79,530,0.0,30.9,0.8
bulkofficesupply.com,brand/retail,9,529,0.0,29.9,0.7
shop-jubi.com,brand/retail,5,529,0.0,19.4,1.8
shopskinnyconfidential.com,brand/retail,2,528,0.0,10.5,0.7
keterbathseat.com,brand/retail,1,525,0.0,3.0,0.8
displays2go.com,brand/retail,1,525,0.0,3.0,0.8
elegantlinensandrentals.com,brand/retail,1,525,0.0,3.0,0.8
blackstallion.com,brand/retail,1,525,0.0,3.0,0.8
cuddleclones.com,brand/retail,1,525,0.0,3.0,0.8
inspiredtaste.net,brand/retail,1,525,0.0,3.0,0.8
totalwine.com,brand/retail,1,525,0.0,3.0,0.8
luxurypillows.co,brand/retail,1,525,0.0,3.0,0.8
apexeventrentalsor.com,brand/retail,1,525,0.0,3.0,0.8
shophouzz.com,brand/retail,51,524,0.0,33.8,0.5
greenleaflinens.com,brand/retail,8,523,0.0,30.1,0.1
ezflexmats.com,brand/retail,2,523,0.0,3.5,1.5
blog.bellacococrochet.com,brand/retail,21,522,0.0,24.6,0.7
johnnywas.com,brand/retail,12,522,0.0,28.1,2.4
slowdownstudio.com,brand/retail,6,522,0.0,37.0,1.0
livingcaring.com,brand/retail,4,520,0.0,18.8,0.2
lyst.com,brand/retail,77,520,0.0,33.7,1.7
hudsonchildrenswear.com,brand/retail,3,520,0.0,11.7,1.2
rollerrabbit.com,brand/retail,3,520,0.0,11.7,1.4
us.ohpolly.com,brand/retail,33,519,0.0,34.1,0.5
saybrooksleep.com,brand/retail,2,519,0.0,10.5,1.0
britannica.com,brand/retail,19,519,0.0,27.7,2.0
spinealign.com,brand/retail,2,518,0.0,2.0,1.8
crownlinen.com,brand/retail,2,518,0.0,2.0,1.8
mybestmattress.com,brand/retail,10,517,0.0,54.4,0.0
honeybeequiltstore.com,brand/retail,3,515,0.0,9.3,1.2
context.reverso.net,brand/retail,3,514,0.0,10.7,0.4
us.drowsysleepco.com,brand/retail,3,514,0.0,8.0,1.2
usatoday.com,publisher,17,513,0.0,42.3,0.2
petco.com,brand/retail,5,513,0.0,36.4,1.0
suitshop.com,brand/retail,16,513,0.0,23.9,3.5
heb.com,brand/retail,15,510,0.0,21.2,0.3
keatonquilts.com,brand/retail,4,510,0.0,18.2,0.5
oeko-tex.com,brand/retail,3,508,0.0,4.3,2.0
cloudmattressco.com,brand/retail,5,507,0.0,13.2,1.1
sumissura.com,brand/retail,20,506,0.0,21.6,2.6
jennifermaker.com,brand/retail,3,505,0.0,6.7,1.5
downrightltd.com,brand/retail,4,504,0.0,4.8,2.5
dewoolfsonlinens.com,brand/retail,7,504,0.0,14.0,2.4
oliveandloom.com,brand/retail,4,504,0.0,19.0,1.0
crochetleaf.com,brand/retail,4,502,0.0,20.8,0.1
sleep-yoga.com,brand/retail,11,502,0.0,31.4,0.8
prwe.com,brand/retail,28,501,0.0,60.5,0.0
amishcountrylanes.com,brand/retail,4,501,0.0,8.5,1.1
lavenderfieldsonline.com,brand/retail,12,501,0.0,23.9,1.3
sleep-hero.co.uk,brand/retail,1,500,0.0,6.0,0.5
rattlesnakeridgebarnquilts.com,brand/retail,1,500,0.0,6.0,0.5
grainger.com,brand/retail,15,500,0.0,21.6,2.1
inkpx.com,brand/retail,2,498,0.0,9.5,1.0
castlery.com,brand/retail,9,498,0.0,13.7,3.5
quiltsbyjen.ca,brand/retail,6,497,0.0,20.3,1.3
plateandcompass.com,brand/retail,1,496,0.0,9.0,0.2
creameryinn.com,brand/retail,1,496,0.0,9.0,0.2
brother-usa.com,brand/retail,4,496,0.0,12.5,0.3
antiquefarmhouse.com,brand/retail,25,496,0.0,30.2,1.6
thehumboldtmercantile.com,brand/retail,4,496,0.0,13.8,1.6
yanasleep.com,brand/retail,6,495,0.0,24.8,0.8
superiorthreads.com,brand/retail,3,494,0.0,5.7,1.6
themodernquiltguild.com,brand/retail,2,494,0.0,6.0,1.0
dryrobe.com,brand/retail,3,493,0.0,18.7,0.1
stephanieslinens.com,brand/retail,3,493,0.0,15.0,1.0
printablepaper.net,brand/retail,3,493,0.0,5.0,1.8
sewguide.com,brand/retail,3,493,0.0,24.0,1.0
columbiapikelaundry.com,brand/retail,5,492,0.0,13.6,1.9
spine-health.com,brand/retail,16,491,0.0,21.0,1.5
efax.com,brand/retail,2,491,0.0,8.5,0.5
naturallymakayla.com,brand/retail,2,491,0.0,7.0,0.8
rentalstoremember.com,brand/retail,5,491,0.0,21.6,0.9
medicalsupplypros.com,brand/retail,2,490,0.0,11.0,0.8
marksandspencer.com,brand/retail,60,490,0.0,40.0,0.3
norfolkhardware.com,brand/retail,3,490,0.0,16.3,0.2
roomtery.com,brand/retail,29,489,0.0,27.9,2.3
us.happyfluffycloud.com,brand/retail,2,489,0.0,2.0,1.8
metmuseum.org,brand/retail,5,488,0.0,12.0,1.6
surpluscenter.com,brand/retail,1,486,0.0,1.0,1.0
cowellextrusion.com,brand/retail,1,486,0.0,1.0,1.0
closetcorepatterns.com,brand/retail,1,486,0.0,1.0,1.0
hoodiepillow.com,brand/retail,1,486,0.0,1.0,1.0
bigpillowbrewing.com,brand/retail,1,486,0.0,1.0,1.0
affordablewipers.com,brand/retail,1,486,0.0,1.0,1.0
ecualama.com,brand/retail,1,486,0.0,1.0,1.0
poppyquiltnsew.com,brand/retail,1,486,0.0,1.0,1.0
wholesaleinabox.com,brand/retail,1,486,0.0,1.0,1.0
karensgreencleaning.com,brand/retail,1,486,0.0,1.0,1.0
midcenturymoderngal.com,brand/retail,1,486,0.0,1.0,1.0
usmint.gov,brand/retail,1,486,0.0,1.0,1.0
westlakedimex.com,brand/retail,1,486,0.0,1.0,1.0
patchanddot.com,brand/retail,1,486,0.0,1.0,1.0
jerasjamboree.co.uk,brand/retail,1,486,0.0,1.0,1.0
elizabethhartman.com,brand/retail,1,486,0.0,1.0,1.0
store.usps.com,brand/retail,1,486,0.0,1.0,1.0
sanyorkfairtrade.com,brand/retail,1,486,0.0,1.0,1.0
bohoblanket.com,brand/retail,1,486,0.0,1.0,1.0
quilts.com,brand/retail,1,486,0.0,1.0,1.0
aqualilypad.com,brand/retail,1,486,0.0,1.0,1.0
toadandco.com,brand/retail,1,486,0.0,1.0,1.0
clockify.me,brand/retail,1,486,0.0,1.0,1.0
bradylinen.com,brand/retail,1,486,0.0,1.0,1.0
thesheetnews.com,brand/retail,1,486,0.0,1.0,1.0
lodgecastiron.com,brand/retail,1,486,0.0,1.0,1.0
modernlymorgan.com,brand/retail,3,485,0.0,10.3,0.6
yarnique.com,brand/retail,3,485,0.0,14.3,1.0
snailax.com,brand/retail,7,484,0.0,10.9,2.3
casparionline.com,brand/retail,3,484,0.0,4.0,2.1
jbrulee.com,brand/retail,29,482,0.0,42.3,0.2
vertex42.com,brand/retail,2,482,0.0,14.5,0.7
easyrest.com,brand/retail,12,482,0.0,26.6,1.6
blarney.com,brand/retail,3,482,0.0,10.3,1.0
ask.metafilter.com,brand/retail,9,481,0.0,25.3,0.4
bathdepot.com,brand/retail,6,480,0.0,28.2,0.2
linenandflax.com,brand/retail,8,480,0.0,12.6,2.0
casagear.com,brand/retail,9,479,0.0,27.0,1.0
mom.com,brand/retail,3,478,0.0,27.7,0.3
lofta.com,brand/retail,4,478,0.0,9.2,1.6
temperature-blanket.com,brand/retail,2,478,0.0,3.5,1.5
tablelinenandmore.com,brand/retail,3,477,0.0,19.0,0.9
oldsouthfabrics.com,brand/retail,3,476,0.0,28.0,0.6
originalpenguin.com,brand/retail,2,476,0.0,18.5,0.2
atlantavinylstore.com,brand/retail,2,476,0.0,13.0,0.9
wearlila.com,brand/retail,4,476,0.0,3.5,3.0
furn.com,brand/retail,62,475,0.0,28.2,2.3
dollamur.com,brand/retail,2,475,0.0,5.0,1.2
lineneffects.com,brand/retail,3,475,0.0,7.7,1.1
spaceaidhome.com,brand/retail,4,474,0.0,19.8,0.9
copperpearl.com,brand/retail,8,474,0.0,24.2,1.1
cocoon.at,brand/retail,2,474,0.0,4.0,1.4
refsheet.net,brand/retail,3,474,0.0,4.0,2.1
cinnamonsquilts.com,brand/retail,1,473,0.0,16.0,0.1
visitoverlandpark.com,brand/retail,1,473,0.0,16.0,0.1
coastalstitchesinc.com,brand/retail,1,473,0.0,17.0,0.1
ninjatransfers.com,brand/retail,2,473,0.0,3.5,1.5
americana-fabrics.com,brand/retail,3,472,0.0,45.3,0.1
dreamfoambedding.com,brand/retail,5,472,0.0,20.0,1.0
bbb.org,brand/retail,11,471,0.0,15.1,1.7
hdis.com,brand/retail,5,471,0.0,15.4,1.1
ergobaby.com,brand/retail,1,470,0.0,2.0,0.9
easydomepoolcovers.com,brand/retail,1,470,0.0,2.0,0.9
memoryquiltsbymolly.com,brand/retail,1,470,0.0,2.0,0.9
jostens.com,brand/retail,1,470,0.0,2.0,0.9
doradoes.co.uk,brand/retail,1,470,0.0,2.0,0.9
decomomo.com,brand/retail,1,470,0.0,2.0,0.9
truetexasmerch.com,brand/retail,1,470,0.0,2.0,0.9
mlbshop.com,brand/retail,1,470,0.0,2.0,0.9
homesewingdepot.com,brand/retail,1,470,0.0,2.0,0.9
contactsheetmaker.com,brand/retail,1,470,0.0,2.0,0.9
monogramsetc.net,brand/retail,1,470,0.0,2.0,0.9
tnstateparks.com,brand/retail,1,470,0.0,2.0,0.9
consciouscoterie.com,brand/retail,1,470,0.0,2.0,0.9
lookatwhatimade.net,brand/retail,1,470,0.0,2.0,0.9
charismaathome.com,brand/retail,1,470,0.0,2.0,0.9
stitchamerica.com,brand/retail,1,470,0.0,2.0,0.9
gorilladirt.com,brand/retail,1,470,0.0,2.0,0.9
pratesi.com,brand/retail,1,470,0.0,2.0,0.9
litesmith.com,brand/retail,1,470,0.0,2.0,0.9
sewing.patternreview.com,brand/retail,4,470,0.0,14.5,1.6
kickymats.com,brand/retail,2,470,0.0,2.0,1.8
quiltingbeespokane.com,brand/retail,4,469,0.0,33.2,0.0
sewnhandmade.com,brand/retail,10,467,0.0,22.5,0.9
jamesperse.com,brand/retail,7,467,0.0,10.9,2.3
eforms.com,brand/retail,2,467,0.0,3.0,1.6
belfurniture.com,brand/retail,5,466,0.0,33.6,0.1
allrecipes.com,brand/retail,3,466,0.0,37.7,0.9
thebrainandthebrawn.com,brand/retail,5,466,0.0,9.4,1.9
elpasosaddleblanket.com,brand/retail,3,466,0.0,3.7,2.2
duluthtrading.com,brand/retail,23,465,0.0,14.5,2.6
broadclothstudio.com,brand/retail,5,465,0.0,8.4,1.9
minimalisticlinen.com,brand/retail,15,465,0.0,32.4,2.0
mpix.com,brand/retail,2,464,0.0,11.0,0.2
cushii.com,brand/retail,1,464,0.0,5.0,0.6
vickiehowell.com,brand/retail,1,464,0.0,5.0,0.6
shopaurifil.com,brand/retail,1,464,0.0,5.0,0.6
medicaleshop.com,brand/retail,13,463,0.0,22.7,0.9
sleepworld.com,brand/retail,8,463,0.0,27.1,1.2
lolliesquiltshop.com,brand/retail,2,462,0.0,24.5,0.0
thequiltcorner.biz,brand/retail,2,462,0.0,30.0,0.0
trquiltshop.com,brand/retail,2,462,0.0,31.0,0.0
sewspecialsa.com,brand/retail,2,462,0.0,32.0,0.0
boltsandquartersquiltshop.com,brand/retail,2,462,0.0,38.5,0.0
tomorrowstreasures.info,brand/retail,2,462,0.0,39.5,0.0
quiltersstation.com,brand/retail,2,462,0.0,41.5,0.0
quiltfoundry.com,brand/retail,2,462,0.0,45.5,0.0
fabrichut.com,brand/retail,2,462,0.0,50.5,0.0
mylittlequiltshop.online,brand/retail,2,462,0.0,51.5,0.0
bouldermqg.com,brand/retail,2,462,0.0,52.5,0.0
itchntobestitchn.com,brand/retail,2,462,0.0,56.5,0.0
quiltsupplyco.com,brand/retail,1,462,0.0,15.0,0.1
libraryguides.centennialcollege.ca,brand/retail,3,462,0.0,10.0,0.8
rainbowsendquilting.com,brand/retail,2,462,0.0,58.0,0.0
oldecityquilts.com,brand/retail,2,462,0.0,59.0,0.0
fabricstores.org,brand/retail,2,462,0.0,59.0,0.0
christmasgoose.com,brand/retail,2,462,0.0,64.0,0.0
sleepandbeyond.com,brand/retail,17,462,0.0,40.3,0.4
battiloshop.com,brand/retail,16,462,0.0,21.4,1.2
hallmark.com,brand/retail,5,462,0.0,24.8,1.1
m.shein.com,brand/retail,8,462,0.0,15.5,2.8
halohealthcare.com,brand/retail,8,461,0.0,37.9,0.0
platinumhealthllc.com,brand/retail,9,461,0.0,12.6,1.9
niluu.com,brand/retail,2,460,0.0,2.0,1.8
solorganix.com,brand/retail,21,459,0.0,31.9,0.3
ewg.org,brand/retail,2,459,0.0,6.0,1.0
newsnetwork.mayoclinic.org,brand/retail,1,458,0.0,10.0,0.1
bedinabox.com,brand/retail,3,458,0.0,8.0,1.4
ingridandisabel.com,brand/retail,4,458,0.0,13.2,1.0
fiestafactorydirect.com,brand/retail,1,458,0.0,10.0,0.1
zola.com,brand/retail,25,458,0.0,35.6,0.2
turbietwist.com,brand/retail,24,458,0.0,25.6,2.5
klymit.com,brand/retail,2,457,0.0,11.0,0.8
plumbingsupply.com,brand/retail,8,455,0.0,23.9,0.7
wyomingkingbeds.com,brand/retail,15,455,0.0,25.0,0.3
huggermugger.com,brand/retail,2,455,0.0,5.5,1.1
uk.pinterest.com,brand/retail,3,454,0.0,14.0,0.6
plumeriabay.com,brand/retail,9,453,0.0,11.2,2.8
johnsonwoolenmills.com,brand/retail,10,452,0.0,22.6,2.3
overthetopinc.com,brand/retail,3,452,0.0,6.7,1.3
tumbleliving.com,brand/retail,25,452,0.0,26.4,2.1
plumbworld.co.uk,brand/retail,2,451,0.0,19.0,0.3
eu.frette.com,brand/retail,2,451,0.0,12.0,0.8
shower-curtain.org,brand/retail,11,450,0.0,45.7,0.0
en.bab.la,brand/retail,6,450,0.0,34.0,0.3
talesofcloth.com,brand/retail,3,450,0.0,8.0,1.2
kmiddletondesignstudios.com,brand/retail,2,450,0.0,3.5,1.5
cinereplicas.com,brand/retail,4,449,0.0,7.2,2.1
shop.simoniz.com,brand/retail,2,448,0.0,8.0,0.9
bedtech.com,brand/retail,7,448,0.0,22.4,1.1
livingetc.com,brand/retail,24,448,0.0,27.3,3.2
magicweightedblanket.com,brand/retail,4,447,0.0,30.5,0.5
bobvila.com,brand/retail,13,447,0.0,33.5,0.1
bagsoflove.com,brand/retail,6,446,0.0,20.2,0.4
continentalbedding.com,brand/retail,3,446,0.0,4.7,1.9
mudpie.com,brand/retail,7,445,0.0,18.6,1.1
americanquilter.com,brand/retail,5,443,0.0,31.2,0.7
desky.com,brand/retail,2,443,0.0,10.5,0.6
powerstop.com,brand/retail,2,443,0.0,8.5,0.8
au.pinterest.com,brand/retail,4,443,0.0,5.5,2.2
custommatshop.com,brand/retail,3,442,0.0,7.7,1.2
doublestitch.com,brand/retail,6,442,0.0,12.7,1.8
coldwatercreek.com,brand/retail,7,442,0.0,18.9,2.4
a1foamandfabrics.com,brand/retail,2,439,0.0,19.5,0.8
bn-link.com,brand/retail,2,438,0.0,5.0,1.2
sleepandsinuscenters.com,brand/retail,1,437,0.0,8.0,0.3
nauticalluxuries.com,brand/retail,10,437,0.0,16.7,3.0
crownandpaw.com,brand/retail,2,437,0.0,5.0,1.2
ontimesupplies.com,brand/retail,2,437,0.0,17.0,0.8
topknobsdecor.com,brand/retail,4,437,0.0,20.8,1.3
morningbird.com,brand/retail,5,437,0.0,7.8,2.9
boxlunch.com,brand/retail,15,436,0.0,15.5,1.1
superiorsaunas.com,brand/retail,2,436,0.0,2.5,1.7
dingledanglebaby.com,brand/retail,1,435,0.0,4.0,0.7
thetravelpockets.com,brand/retail,1,435,0.0,4.0,0.7
pacer.uscourts.gov,brand/retail,1,435,0.0,4.0,0.7
kissykissy.com,brand/retail,1,435,0.0,4.0,0.7
lcm.loc.gov,brand/retail,1,435,0.0,4.0,0.7
clearalif.com,brand/retail,1,435,0.0,4.0,0.7
rugandhome.com,brand/retail,10,434,0.0,18.2,1.4
vivcrochets.com,brand/retail,3,434,0.0,14.0,1.0
buymymagiccarpet.com,brand/retail,3,434,0.0,30.7,0.8
norvegr.com,brand/retail,2,434,0.0,2.5,1.7
truevalue.com,brand/retail,5,433,0.0,20.0,0.2
maddafella.com,brand/retail,10,433,0.0,21.6,2.3
backyardchickens.com,brand/retail,3,432,0.0,4.3,2.0
bedwettingstore.com,brand/retail,3,430,0.0,4.7,1.9
macduggal.com,brand/retail,23,429,0.0,34.7,1.1
thequaliscollection.com,brand/retail,5,428,0.0,20.4,0.2
kirklands.com,brand/retail,30,428,0.0,25.7,1.4
thenotsodramaticlife.com,brand/retail,4,428,0.0,11.2,0.2
penobscotbayporchswings.com,brand/retail,1,428,0.0,3.0,0.8
rusticstrengthwholesale.com,brand/retail,1,428,0.0,3.0,0.8
anime-body-pillow.com,brand/retail,1,428,0.0,3.0,0.8
shoplovebella.com,brand/retail,1,428,0.0,3.0,0.8
medicinemangallery.com,brand/retail,1,428,0.0,3.0,0.8
westpath.com,brand/retail,1,428,0.0,3.0,0.8
cigna.com,brand/retail,1,428,0.0,3.0,0.8
uscourts.gov,brand/retail,1,428,0.0,3.0,0.8
triviamafia.com,brand/retail,1,428,0.0,3.0,0.8
poorhousequiltdesigns.com,brand/retail,1,428,0.0,3.0,0.8
leadshielding.com,brand/retail,1,428,0.0,3.0,0.8
mrsalice.com,brand/retail,1,428,0.0,3.0,0.8
specialtylinensutah.com,brand/retail,1,428,0.0,3.0,0.8
nucor.com,brand/retail,1,428,0.0,3.0,0.8
onlinelabels.com,brand/retail,1,428,0.0,3.0,0.8
jenyu.net,brand/retail,1,428,0.0,3.0,0.8
homziedesigns.com,brand/retail,4,427,0.0,4.2,2.7
luxepillow.com,brand/retail,4,426,0.0,25.0,1.1
stashfabrics.com,brand/retail,10,426,0.0,23.9,1.6
touchoffinland.com,brand/retail,3,426,0.0,5.7,1.6
hellosewing.com,brand/retail,31,425,0.0,34.1,1.3
